city,companyFullName,companyId,companyLabelList,companyShortName,companySize,businessZones,firstType,secondType,education,industryField,positionId,positionAdvantage,positionName,positionLables,salary,workYear
上海,上海融之家金融信息服务有限公司,93141,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']",融之家,500-2000人,,技术,后端开发,本科,"移动互联网,金融",2561181,丰厚年终将,数据工程师,['数据'],10k-18k,应届毕业生
上海,上海远目投资管理有限公司,143807,,大观资本,少于15人,,金融,天使投资/VC/PE,硕士,金融,2501433,"按日计酬,氛围轻松",分析师（实习生）,['分析师'],3k-6k,应届毕业生
上海,北京数字新思科技有限公司,73539,"['年底双薪', '带薪年假', '年度旅游', '领导好']",数字新思,15-50人,"['田林', '徐家汇']",市场与销售,数据分析,本科,数据服务,2517307,五险一金、带薪年假、员工旅游、弹性工作日,商业数据分析,"['商业', '数据分析', '数据', 'BI']",6k-8k,应届毕业生
上海,上海甫田贸易有限公司,146592,"['带薪年假', '技能培训', '管理规范', '帅哥多']",甫田网Fields,150-500人,['龙华'],市场与销售,供应链,本科,电子商务,2388082,"晋升机会,专业培训,美味三餐,美女老板",数据分析专员,"['数据分析', '仓储', '数据']",4k-6k,应届毕业生
上海,伽蓝（集团）股份有限公司,7069,"['绩效奖金', '年底双薪', '五险一金', '通讯津贴']",伽蓝,2000人以上,,产品/需求/项目类,数据分析,本科,电子商务,2531473,"专业团队,薪酬福利优,免费化妆品,工作氛围好",商业数据分析,"['商业', '数据分析', '数据', 'BI']",4k-6k,应届毕业生
上海,路通世纪(中国)科技有限公司,25499,"['五险一金', '免费班车', '绩效奖金', '年底双薪']",汤森路透,2000人以上,"['东外滩', '陆家嘴', '外滩']",市场与销售,数据分析,本科,数据服务,2168175,"新兴产业,跨国平台,团队氛围,薪资",品牌保护分析师实习生,"['商业', '分析师', '品牌']",2k-3k,应届毕业生
上海,中国四达国际经济技术合作有限公司上海分公司,47063,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",中国四达,50-150人,"['淮海路', '人民广场', '老西门']",职能,人力资源,大专,招聘,2463114,福利待遇佳,数据合同管理助理（本部）,['数据'],4k-5k,应届毕业生
上海,银联数据服务有限公司,113080,,银联数据,500-2000人,['唐镇'],技术,后端开发,本科,"金融,数据服务",2428072,"银联下属,金融互联网,技术开发,待遇佳",银联数据2017年校园招聘信息,"['招聘', '高校', 'C', '数据']",10k-20k,应届毕业生
上海,上海点荣金融信息服务有限责任公司,23177,"['节日礼物', '带薪年假', '岗位晋升', '扁平管理']",点融网,500-2000人,"['五里桥', '打浦桥', '制造局路']",技术,后端开发,本科,金融,2427495,"机会挑战,团队技术牛,团队年轻,工作环境好",数据系统工程师-CR2017-SH2907,"['数据', '系统']",10k-15k,应届毕业生
上海,杭州数云信息技术有限公司上海分公司,7502,"['绩效奖金', '股票期权', '五险一金', '通讯津贴']",数云,150-500人,"['龙华', '上海体育场', '万体馆']",市场与销售,数据分析,本科,"企业服务,数据服务",2427570,五险一金 绩效奖金 带薪年假 节日福利,需求分析师【数云校招】,"['商业', '分析师', '需求分析']",6k-8k,应届毕业生
上海,上海好体信息科技有限公司,2002,"['年底双薪', '股票期权', '扁平管理', '领导好']",足球魔方,150-500人,"['龙华', '植物园', '上海南站']",运营,运营,本科,"移动互联网,电子商务",2320852,"足球氛围,福利多,空间大,免费午餐",足球数据维护,['数据'],5k-6k,应届毕业生
上海,杭州数云信息技术有限公司上海分公司,7502,"['绩效奖金', '股票期权', '五险一金', '通讯津贴']",数云,150-500人,,技术,后端开发,硕士,"企业服务,数据服务",2414492,大牛团队，奶妈助攻，专业培养，就等你来！,大数据算法工程师【校招】,"['大数据', '数据', '算法']",10k-15k,应届毕业生
上海,路通世纪(中国)科技有限公司,25499,"['五险一金', '免费班车', '绩效奖金', '年底双薪']",汤森路透,2000人以上,"['东外滩', '陆家嘴', '外滩']",市场与销售,市场/营销,本科,数据服务,1581296,积极职业前景，融洽的团队氛围,商业数据分析 - 知识产权方向,"['知识产权', '数据分析', '数据', 'BI']",6k-7k,应届毕业生
上海,德佑房地产经纪有限公司,35713,"['技能培训', '带薪年假', '年度旅游', '岗位晋升']",上海链家(原德佑),2000人以上,,产品/需求/项目类,数据分析,硕士,企业服务,2575519,"业内最专业,成长空间大,培训多多,决策支持",运营分析师/数据分析师,"['高级', '数据分析', '专员', '商业', '业务运营', '运营']",10k-17k,1-3年
上海,上海网鱼信息科技有限公司,47993,"['年底双薪', '带薪年假', '年度旅游', '岗位晋升']",网鱼网咖.鱼泡泡,50-150人,"['漕宝路', '万源城', '东兰路']",设计,数据分析,大专,生活服务,2549808,晋升空间大,数据分析师,"['分析师', '数据分析', '数据']",7k-14k,1-3年
上海,上海链家房地产经纪有限公司,55581,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",链家（上海）,2000人以上,"['吴江路', '上海电视台', '南京西路']",市场与销售,市场/营销,硕士,"移动互联网,O2O",657586,万亿级O2O平台 一年两次调薪 半年度奖金,数据分析师,"['分析师', '数据分析', '数据']",10k-19k,1-3年
上海,上海萨图西网络有限公司,42029,"['弹性工作', '比特币', 'Slack', '标配Mac']",BTCC,50-150人,,设计,数据分析,不限,金融,2509282,"从“0到1,区块链,比特币,国际化团队",数据分析师,"['分析师', '数据分析', '数据']",8k-16k,1-3年
上海,上海财安金融服务集团股份有限公司,73757,"['技能培训', '带薪年假', '岗位晋升', '管理规范']",财安金融,2000人以上,"['大柏树', '运光', '江湾']",金融,天使投资/VC/PE,本科,"企业服务,金融",2299645,"平台大,舒适的环境,和谐的氛围",数据分析师,"['分析师', '数据分析', '数据']",6k-8k,1-3年
上海,上海好居信息科技有限公司,30533,"['股票期权', '岗位晋升', '扁平管理', '补充商业保险']",悟空找房,500-2000人,"['交通大学', '虹桥', '徐家汇']",设计,数据分析,本科,"移动互联网,O2O",2459208,弹性工作、五险一金、大牛如云,大数据分析师,"['分析师', '大数据', '数据分析', '数据']",15k-25k,1-3年
上海,上海游竞网路科技有限公司,10215,"['美女多', '交通补助', '午餐补助', '绩效奖金']",PLU游戏娱乐传媒,500-2000人,"['汶水路', '大宁路', '闸北公园']",设计,用户研究,本科,游戏,2028802,五险一金，补充医疗，餐费补贴，美女多,数据分析师,"['分析师', '数据分析', '数据']",10k-20k,1-3年
上海,上海晶赞科技发展有限公司,22321,"['项目奖金', '带薪休假', '美女多', '硅谷工作机会']",晶赞科技Zamplus,150-500人,"['汶水路', '大宁路', '共和新路']",市场与销售,市场/营销,本科,"数据服务,文化娱乐",1139011,定期体检 国外outing 弹性工作 绩效奖金,数据分析师,"['分析师', '数据分析', '数据']",10k-20k,1-3年
上海,上海趣盛网络科技有限公司,32836,"['年底双薪', '绩效奖金', '岗位晋升', '定期体检']",达达,500-2000人,"['八佰伴', '东外滩', '梅园']",技术,软件开发,本科,O2O,2166913,数据驱动，风口发展平台，双休,数据分析师,"['分析师', '数据分析', '数据', 'BI']",10k-20k,1-3年
上海,上海秦苍信息科技有限公司,34683,"['美式企业文化', '节日礼物', '股票期权', '岗位晋升']",买单侠,500-2000人,,技术,后端开发,本科,金融,2462379,C轮 技术金融 美式氛围 无限量零食饮料,大数据分析师,"['分析师', '大数据', '数据分析', '数据']",10k-20k,1-3年
上海,拉扎斯网络科技（上海）有限公司,51480,"['节日礼物', '绩效奖金', '年度旅游', '岗位晋升']",饿了么,2000人以上,"['长征', '曹杨']",开发/测试/运维类,数据开发,本科,移动互联网,2579570,弹性工作、发展空间大、带薪年假、加班餐,数据分析师,,10k-15k,1-3年
上海,上海幻电信息科技有限公司,30830,"['带薪年假', '绩效奖金', '交通补助', '午餐补助']",哔哩哔哩,500-2000人,"['东外滩', '梅园', '源深体育中心']",设计,数据分析,本科,"移动互联网,文化娱乐",2480295,"领导大牛,团队优秀",数据分析师,"['分析师', '数据分析', '数据']",8k-15k,1-3年
上海,上海寒诀网络科技有限公司,126229,,麦萌漫画,50-150人,,设计,数据分析,不限,"移动互联网,电子商务",2245520,"数据分析,数据挖掘,数据",数据分析师,"['分析师', '数据分析', '数据']",6k-12k,1-3年
上海,上海银天下科技有限公司,16975,"['绩效奖金', '五险一金', '带薪年假', '午餐补助']",银天下科技,2000人以上,"['南码头', '六里', '东明路']",设计,数据分析,硕士,金融,2552846,纳斯达克上市公司；数量级大；建模分析,数据分析师,"['分析师', '数据分析', '数据']",8k-15k,1-3年
上海,上海思贤信息技术股份有限公司,37571,"['技能培训', '年底双薪', '绩效奖金', '岗位晋升']",思贤股份,15-50人,"['徐家汇', '交通大学']",产品,高端产品职位,本科,"移动互联网,数据服务",1772308,五险一金 年终奖金 员工旅游,高级数据分析师,"['分析师', '数据分析', '数据']",10k-20k,1-3年
上海,德佑房地产经纪有限公司,35713,"['技能培训', '带薪年假', '年度旅游', '岗位晋升']",上海链家(原德佑),2000人以上,"['吴江路', '上海电视台', '南京西路']",设计,用户研究,硕士,企业服务,608907,万亿级O2O平台 一年两次调薪 半年度奖金,数据分析师,"['分析师', '数据分析', '数据']",10k-18k,1-3年
上海,上海网鱼信息科技有限公司,47993,"['年底双薪', '带薪年假', '年度旅游', '岗位晋升']",网鱼网咖.鱼泡泡,50-150人,,设计,数据分析,本科,生活服务,2536296,高速发展 晋升空间大 团队背景深厚,大数据分析师,"['分析师', '大数据', '数据分析', '数据']",10k-20k,1-3年
上海,浙江每日互动网络科技股份有限公司,13163,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",个推,150-500人,,设计,用户研究,本科,移动互联网,2551555,带薪年假 五险一金 生日Party 餐补,数据分析师,"['分析师', '数据分析', '数据']",15k-25k,1-3年
上海,钛马车联网（上海）网络技术有限公司,35049,"['车联网', '带薪年假', '岗位晋升', '扁平管理']",钛马车联网,150-500人,"['虹桥', '虹梅路', '田林']",产品/需求/项目类,数据分析,本科,"移动互联网,数据服务",2570828,"互联网汽车,弹性工作,定期体检",数据分析员,['数据分析'],10k-15k,1-3年
上海,上海易钧信息技术有限公司,110636,"['午餐补助', '带薪年假', '五险一金']",易钧信息,少于15人,"['东方路', '塘桥', '潍坊', '东方路', '潍坊', '塘桥']",设计,数据分析,本科,"数据服务,企业服务",1725342,五险一金、带薪年假、餐补,数据分析师,"['分析师', '数据分析', '数据']",8k-15k,1-3年
上海,北京京东尚科信息技术有限公司上海分公司,44548,"['年底双薪', '技能培训', '带薪年假', '绩效奖金']",京东,500-2000人,,设计,用户研究,本科,"移动互联网,电子商务",2505881,大平台、团队氛围好、福利完善,数据分析师,"['分析师', '数据分析', '数据']",10k-20k,1-3年
上海,上海凌融网络科技有限公司,54000,"['年底双薪', '节日礼物', '技能培训', '股票期权']",口袋理财,150-500人,"['五角场', '大学区', '长海医院']",技术,数据开发,本科,"移动互联网,金融",2439826,"好吃,好喝,好玩,好多美女",数据分析师,"['分析师', '数据分析', '数据挖掘', '数据']",15k-30k,1-3年
上海,深圳市网新新思软件有限公司,14319,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']",深圳新思,500-2000人,['唐镇'],技术,运维安全,大专,"移动互联网,企业服务",2478163,入职即购买五险一金，带薪年假，员工旅游,数据分析师,"['数据仓库', '分析师', '数据分析', '数据']",10k-16k,1-3年
上海,上海新番网络科技有限公司,124159,,新番资本,50-150人,"['打浦桥', '斜土路', '日晖']",设计,数据分析,本科,"移动互联网,文化娱乐",2445672,电子竞技平台大数据分析,大数据分析师,"['分析师', '大数据', '数据分析', '数据']",10k-20k,1-3年
上海,沪江教育科技（上海）股份有限公司,3112,"['技能培训', '节日礼物', '年底双薪', '专项奖金']",沪江,500-2000人,['张江'],职能,财务,大专,"移动互联网,教育",2281248,即将上市股权激励、带娃上班、年底多薪,财务数据分析师(J10063),"['分析师', '数据分析', '财务', '数据']",8k-15k,1-3年
上海,微额速达(上海)金融信息服务有限公司,40092,"['股票期权', '带薪年假', '绩效奖金', '年终分红']",现金巴士,150-500人,,技术,后端开发,本科,"移动互联网,金融",2005167,"氛围好,期权,健身房,私厨",数据分析师,"['分析师', '数据分析', '数据']",10k-20k,1-3年
上海,通联数据股份公司,21218,"['五险一金', '通讯津贴', '带薪年假', '节日礼物']",通联数据,150-500人,"['东外滩', '陆家嘴', '外滩']",金融,天使投资/VC/PE,本科,金融,2274995,薪资福利好 大数据,行业数据分析师,"['行业研究', '分析师', '数据分析', '数据']",10k-20k,1-3年
上海,深圳市房多多网络科技有限公司,622,"['节日礼物', '带薪年假', '扁平管理', '美女多']",房多多,2000人以上,"['汶水路', '大宁路', '闸北公园']",运营,运营,本科,"移动互联网,O2O",1245619,Google老板-技术氛围-高成长-领军企业,数据分析师,"['分析师', '数据分析', '数据']",10k-20k,1-3年
上海,上海运图贸易有限公司,59330,"['培训多多', '工作+生活', '让车价更透明', '俱乐部多多']",要买车,150-500人,"['华师大', '长风公园', '长征']",产品/需求/项目类,数据分析,本科,电子商务,2577147,"汽车电商,互联网公司,扁平化管理,发展快",数据分析师,"['数据分析', '数据', '分析师']",12k-15k,1-3年
上海,上海厚本金融信息服务有限公司,47956,"['技能培训', '年底双薪', '股票期权', '带薪年假']",厚本金融,2000人以上,,设计,用户研究,本科,金融,2309151,快速的职业成长、优秀的导师、良好的福利,数据分析师/数据工程师,"['分析师', '数据分析', '数据']",8k-15k,1-3年
上海,万达信息科技有限公司,27061,"['专项奖金', '五险一金', '带薪年假', '午餐补助']",万达电商,2000人以上,"['世纪公园', '花木', '塘桥']",技术,后端开发,本科,电子商务,2536576,"免费三餐,大平台",数据分析师,"['分析师', '数据分析', '后端开发', '数据']",15k-25k,1-3年
上海,上海微盟企业发展有限公司,82809,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']",上海微盟,500-2000人,['淞南'],市场与销售,市场/营销,本科,"移动互联网,电子商务",2065573,做五休二、弹性工作、带薪年假、五险一金,数据分析师,"['分析师', '数据分析', '数据']",8k-15k,1-3年
上海,携程计算机技术（上海）有限公司,6636,"['绩效奖金', '股票期权', '五险一金', '交通补助']",携程,2000人以上,"['北新泾', '长征', '金沙江路']",运营,运营,本科,"移动互联网,旅游",1657006,机会多，平台大，晋升快,高级数据分析师,"['分析师', '数据分析', '数据']",9k-15k,1-3年
上海,商宴通（上海）网络科技有限公司,59618,"['节日礼物', '技能培训', '股票期权', '成长空间']",全程网络,150-500人,"['周家嘴路', '长阳路', '黄兴公园']",市场与销售,市场/营销,硕士,"企业服务,O2O",1210371,薪酬工资高、发展前景、行业标杆、美女多,商业数据分析师,"['分析师', '数据分析', '数据', 'BI']",10k-18k,1-3年
上海,彩数（上海）商务咨询有限公司,71902,"['节日礼物', '带薪年假', '岗位晋升', '扁平管理']",Colour Data,15-50人,,市场与销售,市场/营销,本科,"移动互联网,数据服务",2359958,福利待遇优厚，晋升空间大,数据分析师,"['分析师', '数据分析', '数据']",8k-15k,1-3年
上海,杭州财米科技有限公司,4448,"['年底多薪', '岗位晋升', '定期体检', '五险一金']",挖财,500-2000人,"['世纪公园', '花木', '塘桥']",市场与销售,市场/营销,本科,"移动互联网,金融",591162,"期权激励,带薪年假,弹性工作,年底多薪",高级数据分析师,"['分析师', '数据分析', '数据']",12k-24k,1-3年
上海,深圳市赢众通金融信息服务股份有限公司,24587,"['五险一金', '两餐补助', '超低息员工贷', '年底奖金']",小赢理财,150-500人,,产品/需求/项目类,数据分析,本科,金融,2566134,富诱惑力的薪酬、良好的发展机会,金融数据分析师,"['数据分析', '金融', '数据', '分析师']",10k-20k,1-3年
上海,上海房金所金融信息服务有限公司,35200,"['技能培训', '节日礼物', '专项奖金', '管理规范']",房金所,150-500人,"['平凉路', '长阳路', '周家嘴路']",金融,投融资,大专,金融,1729884,半年调薪、年底双薪,数据统计分析师,"['分析师', '数据']",6k-8k,1-3年
上海,深圳市网新新思软件有限公司,14319,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']",深圳新思,500-2000人,"['陆家嘴', '梅园', '八佰伴']",技术,运维安全,大专,"移动互联网,企业服务",2476170,入职即购买五险一金，带薪年假，员工旅游,数据分析师,"['数据仓库', '分析师', '数据分析', '数据']",8k-16k,1-3年
上海,上海第一财经新媒体科技有限公司,73937,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",上海第一财经新媒体,150-500人,"['上海电视台', '南京西路', '人民广场']",金融,天使投资/VC/PE,本科,移动互联网,1892370,"晋升空间,学习挑战,带薪年假,弹性工作",数据分析师,"['行业研究', '分析师', '数据分析', '数据']",10k-18k,1-3年
上海,德比软件（上海）有限公司,146,"['午餐补贴', '期权激励', '技能培训', '美女多']",DerbySoft,150-500人,"['东方路', '塘桥', '潍坊']",设计,数据分析,本科,旅游,885566,期权+弹性工作时间+午餐补助+补充医疗,数据分析师,"['分析师', '数据分析', '数据']",8k-15k,1-3年
上海,上海米么金融信息服务有限公司,32042,"['节日礼物', '专项奖金', '带薪年假', '绩效奖金']",米么金服,150-500人,"['金杨新村', '金桥', '碧云社区']",技术,软件开发,本科,"移动互联网,金融",1897377,"带薪年假,五险一金,节日福利,帅哥美女",数据分析师,"['分析师', '数据分析', '数据', 'BI']",10k-15k,1-3年
上海,路路行（上海）商务咨询有限公司,687,"['节日礼物', '年度旅游', '岗位晋升', '技能培训']",路路行旅游,50-150人,,设计,用户研究,本科,"电子商务,旅游",2136319,美式管理 晋升空间 带薪出境游,数据分析师,"['分析师', '数据分析', '数据']",9k-15k,1-3年
上海,百融（北京）金融信息服务股份有限公司,73043,"['技能培训', '股票期权', '带薪年假', '定期体检']",百融金服,150-500人,"['八佰伴', '东外滩', '梅园']",设计,用户研究,本科,"金融,数据服务",2561891,六险一金 福利补贴 年终奖金,高级数据分析师,"['分析师', '数据分析', '数据']",15k-20k,1-3年
上海,上海客齐集信息技术有限公司,9343,"['节日礼物', '带薪年假', '租房津贴', '妹纸美']",百姓网,500-2000人,"['交通大学', '徐家汇', '淮海西路']",设计,数据分析,本科,移动互联网,2441805,更快的成长，简单直接，和优秀的人一起工作,数据分析师,"['分析师', '数据分析', '数据']",8k-16k,1-3年
上海,携程计算机技术（上海）有限公司,6636,"['绩效奖金', '股票期权', '五险一金', '交通补助']",携程,2000人以上,,设计,数据分析,本科,"移动互联网,旅游",2378909,数据分析挖掘,数据分析师,"['分析师', '数据分析', '数据']",15k-25k,1-3年
上海,浙江康健绿线网络技术有限公司,21236,"['技能培训', '年底双薪', '节日礼物', '绩效奖金']",微医集团,500-2000人,"['漕宝路', '田林', '漕河泾']",运营,运营,本科,"移动互联网,医疗健康",1969335,周末双休 带薪年假 人才推荐奖 节日福利,数据分析师-用户画像方向,"['分析师', '数据分析', '数据']",10k-15k,1-3年
上海,上海好体信息科技有限公司,2002,"['年底双薪', '股票期权', '扁平管理', '领导好']",足球魔方,150-500人,"['龙华', '植物园', '上海南站']",设计,用户研究,本科,"移动互联网,电子商务",1294389,最cool的产品+最cool的团队+最给力的￥,数据分析师,"['分析师', '数据分析', '数据']",6k-12k,1-3年
上海,深圳市房多多网络科技有限公司,622,"['节日礼物', '带薪年假', '扁平管理', '美女多']",房多多,2000人以上,,运营,运营,本科,"移动互联网,O2O",2444331,领导nice.移动互联网.扁平管理.氛围好.,数据分析师,"['分析师', '数据分析', '数据']",10k-20k,1-3年
上海,上海软科教育信息咨询有限公司,93989,"['股票期权', '带薪年假', '绩效奖金', '任吃任喝']",上海软科教育,少于15人,['老闵行'],技术,项目管理,博士,企业服务,2529979,"五险一金,带薪年假,免费餐饮,活动丰富",高级数据分析师（咨询方向）,"['分析师', '数据分析', '咨询', '数据']",10k-20k,1-3年
上海,上海裕维金融信息服务有限公司,117408,"['扁平管理', '技能培训', '领导好', '绩效奖金']",裕维金服,15-50人,"['金杨新村', '金桥', '碧云社区']",设计,数据分析,大专,数据服务,2351258,"绩效奖金,股票期权,弹性工作,带薪年假",数据分析师,"['分析师', '数据分析', '数据']",10k-15k,1-3年
上海,上海亮昕网络科技有限公司,117258,"['年底双薪', '股票期权', '带薪年假', '交通补助']",Alading Bank,150-500人,"['田林', '漕河泾', '漕宝路']",金融,风控,本科,"移动互联网,金融",1533700,五险一金 13薪 弹性工作 股权激励,（互联网金融）数据统计分析师,"['分析师', '金融', '数据']",10k-20k,1-3年
上海,上海储田商务咨询有限公司,47457,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",储田商务,15-50人,,技术,数据开发,本科,"移动互联网,数据服务",2073334,节日福利，弹性工作时间，团建活动等,流量数据分析师,"['分析师', '数据分析', '数据挖掘', '数据']",3k-6k,1-3年
上海,上海时年信息科技有限公司,42021,"['年底双薪', '绩效奖金', '股票期权', '专项奖金']",时年信息,15-50人,,设计,用户研究,硕士,"移动互联网,游戏",2394800,年薪15薪以上，期权股权不是梦想,数据分析师,"['分析师', '数据分析', '数据']",10k-20k,1-3年
上海,上海米么金融信息服务有限公司,32042,"['节日礼物', '专项奖金', '带薪年假', '绩效奖金']",米么金服,150-500人,"['金杨新村', '金桥', '碧云社区']",技术,运维安全,本科,"移动互联网,金融",1212733,带薪年假 上班不打卡,数据建模与分析师,"['数据仓库', '分析师', '数据', '建模']",10k-20k,1-3年
上海,上海享途网络科技有限公司,65665,"['股票期权', '带薪年假', '绩效奖金', '岗位晋升']",乐车邦,50-150人,,运营,运营,大专,"移动互联网,O2O",2351452,带薪年假，员工旅游，五险一金，弹性工时,数据分析师,"['分析师', '数据分析', '数据']",15k-20k,1-3年
