,电影名称,电影网址链接,电影迅雷下载链接
12,2017年美国7.5分奇幻片《雷神3：诸神黄昏》BD中英双字",https://www.dy2018.com//i/98961.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]雷神3BD中英双字.mp4
13,2017年国产7.9分剧情片《芳华》HD高清国语中英双字",https://www.dy2018.com//i/99073.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]芳华HD高清国语中英双字.mp4
14,2017年国产奇幻片《鲛珠传》BD国语中字",https://www.dy2018.com//i/98369.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]鲛珠传BD国语中字.mp4
15,2017年欧美8.6分剧情片《至暗时刻》BD中英双字",https://www.dy2018.com//i/99022.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]至暗时刻BD中英双字.mp4
16,2017年欧美8.7分剧情片《三块广告牌》BD中英双字修正",https://www.dy2018.com//i/99055.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]三块广告牌BD中英双字.mp4
17,2017年国产6.1分喜剧片《二代妖精之今生有幸》HD国语中英双字",https://www.dy2018.com//i/99054.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]二代妖精之今生有幸HD国语中英双字.mp4
18,2017年国产动作片《追捕》BD国语中字",https://www.dy2018.com//i/98875.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]追捕BD国语中字.mp4
19,2017年国产8.2分剧情片《不成问题的问题》HD国语无字",https://www.dy2018.com//i/99042.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]不成问题的问题HD国语无字.mp4
20,2017年美国9.1分动画片《寻梦环游记》BD中英双字",https://www.dy2018.com//i/98988.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]寻梦环游记BD中英双字.mp4
21,2017年欧美7.0分悬疑片《东方快车谋杀案》BD中英双字",https://www.dy2018.com//i/98970.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]东方快车谋杀案BD中英双字.mp4
22,2017年国产喜剧片《妖铃铃》HD国粤双语中字",https://www.dy2018.com//i/99035.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]妖铃铃HD国粤双语中字.mkv
23,2017年欧美7.0分动画片《神偷奶爸3》BD中英双字",https://www.dy2018.com//i/98347.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]神偷奶爸3BD中英双字.mp4
24,2017年韩国9.1分剧情片《出租车司机》BD韩语中字",https://www.dy2018.com//i/98444.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]出租车司机BD韩语中字.mp4
25,2017年国产7.0分奇幻片《妖猫传》HD高清国语中字",https://www.dy2018.com//i/99013.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]妖猫传HD高清国语中字.mkv
26,2016年日本8.5分动画爱情片《你的名字》BD日粤双语中字",https://www.dy2018.com//i/97747.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]你的名字BD日粤双语中字.mkv
27, 2016年美国7.4分科幻动作片《X战警：天启》BD中英双语双字",https://www.dy2018.com//i/97094.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]X战警：天启BD中英双字国英双语.mp4
28,2016年欧美8.6分剧情片《海边的曼彻斯特》BD中字",https://www.dy2018.com//i/97719.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]海边的曼彻斯特BD中字.mp4
29,2016年欧美8.6分悬疑片《看不见的客人》BD中字",https://www.dy2018.com//i/97887.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]看不见的客人BD中字.mp4
30,2017年国产6.1分动作片《心理罪之城市之光》HD高清国语中英双字",https://www.dy2018.com//i/99006.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]心理罪之城市之光HD高清国语中英双字.mp4
31,2018年国产7.3分奇幻片《灵魂摆渡?黄泉》HD高清国语中字",https://www.dy2018.com//i/99001.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]灵魂摆渡?黄泉HD高清国语中字.mp4
32,2017年美国8.4分灾难片《勇往直前》BD中英双字",https://www.dy2018.com//i/98983.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]勇往直前BD中英双字.mp4
33,2017年国产动作片《奇门遁甲》HD高清中英双字",https://www.dy2018.com//i/98977.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]奇门遁甲HD高清中英双字.mp4
34,2017年国产6.0分剧情片《解忧杂货店》HD高清国语中字",https://www.dy2018.com//i/98973.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]解忧杂货店HD高清国语中字.mp4
35,2017年国产8.2分记录片《地球神奇的一天》BD国英双语中字",https://www.dy2018.com//i/98834.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]地球：神奇的一天BD国英双语中字.mp4
36,2017年国产7.5分动作片《追龙》BD粤语中字",https://www.dy2018.com//i/98796.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]追龙BD粤语中字.mp4
37,2017年欧美6.3分动作片《迷镇凶案》BD中英双字",https://www.dy2018.com//i/98968.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]迷镇凶案HD中英双字.mp4
38,2017年美国6.2分动作片《全球风暴》BD国英双语中英双字",https://www.dy2018.com//i/98668.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]全球风暴BD国英双语中英双字.mp4
39,2017年美国8.0分剧情片《马斯顿教授与神奇女侠》BD修正中英双字",https://www.dy2018.com//i/98916.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]马斯顿教授与神奇女侠BD修正中英双字.mp4
40,周末巨献《星球大战系列1977到2017年星战大片》国英双语典藏版",https://www.dy2018.com//i/93389.html,magnet:?xt=urn:btih:2353YZ37G32PESI5RQ73CJ3H2ZREGUOF
41,2017年欧美7.3分动作片《星球大战外传：侠盗一号》BD双语双字",https://www.dy2018.com//i/97851.html,ftp://j:j@g.dygod18.com:7978/星球大战外传：侠盗一号BD国英双语中英双字[电影天堂www.dy2018.com].mkv
42,2017年美国7.3分恐怖片《电锯惊魂8》BD中英双字",https://www.dy2018.com//i/98898.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]电锯惊魂8BD中英双字.mp4
43,2017年欧美8.3分战争片《敦刻尔克》BD国英双语中英双字",https://www.dy2018.com//i/98728.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]敦刻尔克BD中英双字.rmvb
44,2017年欧美8.6分剧情片《至爱梵高?星空之谜》BD中英双字",https://www.dy2018.com//i/98886.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]至爱梵高?星空之谜BD中英双字.mp4
45,2017年国产7.5分动作片《绣春刀2：修罗战场》BD国语中字",https://www.dy2018.com//i/98346.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]绣春刀2BD国语中字.mp4
46,2017年国产6.6分动作片《引爆者》HD高清国语中英双字修复",https://www.dy2018.com//i/98851.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]引爆者HD高清国语中英双字修复.mp4
47,2017年国产6.6分剧情片《七十七天》HD高清国语中字",https://www.dy2018.com//i/98880.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]七十七天HD高清国语中字.mp4
48,2017年欧美8.5分科幻片《银翼杀手2049》BD中英双字",https://www.dy2018.com//i/98838.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]银翼杀手2049BD中英双字.mp4
49,2017年印度8.2分喜剧片《起跑线》BD印度语中字",https://www.dy2018.com//i/98864.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]qi跑线BD印度语中字.mp4
50,2017年韩国动作片《真实》BD韩语中字",https://www.dy2018.com//i/98858.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]真实BD韩语中字.mp4
51,2017年国产7.2分动作片《英伦对决》BD中英双字",https://www.dy2018.com//i/98709.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]英伦对决BD中英双字.mp4
52,2017年国产7.2分喜剧片《羞羞的铁拳》HD高清国语中英双字",https://www.dy2018.com//i/98820.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]羞羞的铁拳HD高清国语中英双字.mkv
53,2017年国产8.5分剧情片《嘉年华》HD高清国语中字",https://www.dy2018.com//i/98810.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]嘉年华HD高清国语中字.mkv
54,2017年美国7.7分恐怖片《小丑回魂IT》BD中英双字",https://www.dy2018.com//i/98586.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]小丑回魂ItBD中英双字.mp4
55,2017年韩国7.6分动作片《军舰岛》BD导演剪辑版韩语中字",https://www.dy2018.com//i/98393.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]军舰岛BD导演剪辑版韩语中字.mp4
56,2017年国产动作片《密战》HD高清国语中英双字",https://www.dy2018.com//i/98788.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]密战HD高清国语中英双字.mkv
57,2017年国产7.4分动作片《杀破狼?贪狼》BD国粤双语中字",https://www.dy2018.com//i/98551.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]杀破狼?贪狼BD国粤双语中字.mkv
58,2017年国产7.2分剧情片《暴雪将至》HD高清国语中英双字",https://www.dy2018.com//i/98769.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]暴雪将至HD高清国语中英双字.mkv
59,2017年国产7.0分喜剧片《缝纫机乐队》HD高清国语中英双字",https://www.dy2018.com//i/98751.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]缝纫机乐队HD高清国语中英双字.mkv
60,2017年国产8.6分剧情片《相爱相亲》HD高清国语中英双字",https://www.dy2018.com//i/98729.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]相爱相亲HD高清国语中英双字.mkv
61,2017年泰国8.3分悬疑片《天才枪手》BD国粤泰三语中字",https://www.dy2018.com//i/98658.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]天才枪手BD国粤泰三语中字.mkv
62,2017年国产7.4分动作片《战狼2》BD国语中英双字",https://www.dy2018.com//i/98601.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]战狼2BD国语中英双字.mp4
63,2017年美国6.4分科幻片《回到火星》HD高清中字",https://www.dy2018.com//i/98707.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]回到火星HD高清中字.mkv
64,2016年香港8.0分剧情片《一念无明》BD国粤双语中字",https://www.dy2018.com//i/98220.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]一念无明BD国粤双语中字.mkv
65,2017年欧美7.2分动作片《王牌特工2：黄金圈》BD中英双字",https://www.dy2018.com//i/98693.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]w牌特工2：黄金圈BD中英双字.mp4
66,2017年日本7.3分动作片《银魂》BD日语中字",https://www.dy2018.com//i/98687.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]银魂真人版BD日语中字.mkv
67,2016年欧美9.3分纪录片《我们是X》BD中字",https://www.dy2018.com//i/98685.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]我们是XBD中字.mp4
68,2017年日本6.6分动画片《哆啦A梦：大雄的南极冰冰凉大冒险》BD",https://www.dy2018.com//i/98680.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]哆啦A梦：大雄的南极冰冰凉大冒险BD国粤日三语中字.mp4
69,2017年国产动作片《空天猎》HD高清国语中英双字",https://www.dy2018.com//i/98676.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]空天猎HD高清国语中英双字.mkv
70,2017年欧美7.8分动作片《美国行动》BD中英双字",https://www.dy2018.com//i/98549.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]美国行动BD中英双字.mp4
71,2017年美国7.2分动作片《神偷联盟》BD中英双字",https://www.dy2018.com//i/98653.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]神偷联盟BD中英双字.mp4
72,2017年欧美7.2分动作片《极盗车神》BD中英双字",https://www.dy2018.com//i/98386.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]极盗车神BD中英双字.mp4
73,2017年法国7.1分动作片《星际特工：千星之城》BD中英双字",https://www.dy2018.com//i/98596.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]星际特工：千星之城BD中英双字.mp4
74,2017年日本6.4分动作片《名侦探柯南：唐红的恋歌》BD日语中字",https://www.dy2018.com//i/98637.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]名侦探柯南：唐红的恋歌BD日语中字.mp4
75,2017年国产动作片《悟空传》BD国粤双语中字",https://www.dy2018.com//i/98306.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]悟空传BD国粤双语中字.mkv
76,2017年国产悬疑片《京城81号2》BD国粤双语中字",https://www.dy2018.com//i/98296.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]京城81号2BD国粤双语中字.mkv
77,2017年美国7.1分动画片《赛车总动员3》BD国粤英三语中英双字",https://www.dy2018.com//i/98558.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]赛车总动员3BD国粤英三语中英双字.mkv
78,2017年欧美7.4分动作片《极寒之城》BD中英双字",https://www.dy2018.com//i/98529.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]极寒之城BD中英双字.mp4
79,2017年国产6.8分动作片《侠盗联盟》BD国粤双语中字",https://www.dy2018.com//i/98530.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]侠盗联盟BD国粤双语中字.mkv
80,2017年欧美7.0分科幻片《猩球崛起3：终极之战》BD双语中英双字",https://www.dy2018.com//i/98477.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]猩球崛起3：终极之战BD国英双语中英双字.mp4
81,2017年国产动作片《心理罪大电影》HD高清国语中字",https://www.dy2018.com//i/98492.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]心理罪大电影HD高清国语中字.mkv
82,2017年国产6.8分动作片《破局》HD高清国语中字",https://www.dy2018.com//i/98489.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]破局HD高清国语中字.mkv
83,2017年美国7.5分科幻片《蜘蛛侠：英雄归来》BD中英双字",https://www.dy2018.com//i/98435.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]蜘蛛侠：英雄归来BD国英双语中英双字.mp4
84,2017年国产7.1分剧情片《明月几时有》BD国粤双语中字",https://www.dy2018.com//i/98399.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]明月几时有BD国粤双语中字.mkv
85,2017年国产7.7分动画片《十万个冷笑话2》HD高清国语中字",https://www.dy2018.com//i/98464.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]十万个冷笑话2HD高清国语中字.mkv
86,2016年欧美9.7分战争片《山2》BD中字",https://www.dy2018.com//i/98443.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]山2BD中字.mkv
87,2017年国产8.0分动画片《大护法》HD高清国语中字",https://www.dy2018.com//i/98421.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]大护法HD高清国语中字.mkv
88,2017年国产7.5分喜剧片《闪光少女》HD国语中英双字",https://www.dy2018.com//i/98412.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]闪光少女HD国语中英双字.mkv
89,2017年欧美科幻片《变形金刚5最后的骑士》BD中英双字",https://www.dy2018.com//i/98364.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]变形金刚5：最后的骑士BD中英双字.rmvb
90,2017年国产6.7分喜剧片《反转人生》HD高清国语中英双字",https://www.dy2018.com//i/98400.html,ftp://z:z@dygod18.com:21211/[电影天堂www.dy2018.com]反转人生HD高清国语中英双字.mkv
91,2017年香港6.9分爱情片《原谅他77次》BD国粤双语中字",https://www.dy2018.com//i/98294.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]原谅他77次BD国粤双语中字.mkv
92,2017年欧美7.2分动作片《神奇女侠》BD国英双语中英双字",https://www.dy2018.com//i/98340.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]神奇女侠BD国英双语中英双字.mp4
93,2017年日本8.4分剧情片《人生密密缝》BD日语中字",https://www.dy2018.com//i/98391.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]人生密密缝BD日语中字.rmvb
94,2017年欧美7.3分动作片《加勒比海盗5：死无对证》BD中英双字",https://www.dy2018.com//i/98361.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]加勒比海盗5：死无对证BD国英中英双字.mp4
95,2017年国产喜剧片《父子雄兵》HD国语中字",https://www.dy2018.com//i/98372.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]父子雄兵HD国语中字.mkv
96,2016年韩国7.5分爱情片《被掩盖的时间》BD韩语中字",https://www.dy2018.com//i/98356.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]被掩盖的时间BD韩语中字.rmvb
97,2017年国产6.2分爱情片《三生三世十里桃花电影版》HD中英双字",https://www.dy2018.com//i/98353.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]三生三世十里桃花电影HD高清国语中英双字.mkv
98,2016年国产8.1分纪录片《我们诞生在中国》BD国语中字",https://www.dy2018.com//i/97192.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]我们诞生在中国BD国语中字.rmvb
99,2017年美国8.2分动作片《银河护卫队2》BD国英双语中英双字",https://www.dy2018.com//i/98266.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]银河护卫队2BD国英双语中英双字.mkv
100,2017年印度7.1分动作片《巴霍巴利王(下)：终结》BD中英双字",https://www.dy2018.com//i/98256.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]巴霍巴利王(下)：终结-BD中英双字.rmvb
101,2017年国产6.8分动作片《拆弹专家》BD国粤双语中字",https://www.dy2018.com//i/98133.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]拆弹专家BD国粤双语中字.mkv
102, 2017年美国7.4分科幻片《异形：契约》BD中英双字",https://www.dy2018.com//i/98157.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]异形：契约BD中英双字.mp4
103,2017年国产6.5分喜剧片《绝世高手》HD高清国语中字",https://www.dy2018.com//i/98269.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]绝世高手HD高清国语中字.mkv
104,2017年国产剧情片《李雷和韩梅梅》HD高清国语中字",https://www.dy2018.com//i/98268.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]李雷和韩梅梅HD高清国语中字.mkv
105,2017年国产7.5分喜剧片《春娇救志明》BD国粤双语中字",https://www.dy2018.com//i/98093.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]春娇救志明BD国粤双语中字.mkv
106,2015年国产7.8分剧情片《冈仁波齐》HD高清国语中字",https://www.dy2018.com//i/98143.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]冈仁波齐HD高清国语中字.mkv
107,2017年日本6.6分动画片《哆啦A梦：大雄的南极冰冰凉大冒险》HD",https://www.dy2018.com//i/98252.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]哆啦A梦：大雄的南极冰冰凉大冒险-国日双语中字.mkv
108,2017年美国动作片《新木乃伊》BD中英双字",https://www.dy2018.com//i/98178.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]新木乃伊BD中英双字.rmvb
109,2015年国产7.4分动作片《师父》BD国语中字",https://www.dy2018.com//i/96287.html,ftp://2:2@d3.dl1234.com:2299/师父HD国语中字修复版[电影天堂www.dy2018.com].mkv
110,2017年美国7.4分动作片《亚瑟王：斗兽争霸》BD中英双字",https://www.dy2018.com//i/98142.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]亚瑟王：斗兽争霸BD中英双字.rmvb
111,2017年国产7.3分悬疑片《记忆大师》HD高清国语中英双字",https://www.dy2018.com//i/98225.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]记忆大师HD高清国语中英双字.mkv
112,2017年韩国6.7分动作片《共助》BD韩语中字",https://www.dy2018.com//i/98213.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]共助BD韩语中字.rmvb
113,2017年国产7.3分剧情片《忠爱无言》HD国语中字",https://www.dy2018.com//i/98209.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]忠爱无言HD国语中字.mkv
114,2017年美国6.6分动作片《攻壳机动队真人版》BD国英双语中英双字",https://www.dy2018.com//i/97979.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]攻壳机动队真人版BD国英双语中英双字.mp4
115,2017年国产6.1分爱情片《吃吃的爱》HD高清国语中英双字",https://www.dy2018.com//i/98184.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]吃吃的爱HD高清国语中英双字.mkv
116,2016年日本7.1分喜剧片《我的叔叔》HD日语中字",https://www.dy2018.com//i/98167.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]我的叔叔HD日语中字.rmvb
117,2016年韩国6.5分动作片《金融决战》BD韩语中字",https://www.dy2018.com//i/98166.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]金融决战BD韩语中字.rmvb
118,2016年印度9.2分动作片《摔跤吧！爸爸》BD双语中字",https://www.dy2018.com//i/98084.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]摔跤吧！爸爸BD中字.mp4
119,2017年美国6.5分动画片《蓝精灵：寻找神秘村》BD国英双语双字",https://www.dy2018.com//i/98119.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]蓝精灵3：寻找神秘村BD国英双语中英双字.mkv
120,2017年美国7.2分动作片《神奇女侠》HD韩版高清中英双字",https://www.dy2018.com//i/98153.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]sqn侠HD韩版高清中英双字.mkv
121,2017年美国7.2分动作片《速度与激情8》BD中英双字",https://www.dy2018.com//i/98020.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]速度与激情8BD中英双字.mp4
122,2017年韩国7.3分动作片《被操纵的城市》BD韩语中字",https://www.dy2018.com//i/98149.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]被操纵的城市BD韩语中字.rmvb
123,2017年国产喜剧片《麻烦家族》HD高清国语中英双字",https://www.dy2018.com//i/98147.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]麻烦家族HD高清国语中英双字.mkv
124,2017年美国6.8分动作片《金刚：骷髅岛》BD国英双语中英双字",https://www.dy2018.com//i/97901.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]金刚：骷髅岛BD国英双语中英双字.mkv
125,2017年国产6.6分动作片《非凡任务》BD国语中字",https://www.dy2018.com//i/98028.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]非凡任务BD国语中字.rmvb
126,2017年国产6.5分犯罪片《嫌疑人X的献身》HD高清国语中英双字",https://www.dy2018.com//i/98112.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]嫌疑人X的献身HD高清国语中英双字.mkv
127,2017年欧美6.7分动作片《超凡战队》BD中英双字",https://www.dy2018.com//i/98102.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]超凡战队BD中英双字.rmvb
128,2017年国产7.0分喜剧片《乘风破浪》BD国语中字",https://www.dy2018.com//i/97875.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]乘风破浪BD国语中字.rmvb
129,2016年韩国7.2分动作片《阿修罗》BD韩语中字",https://www.dy2018.com//i/98086.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]a修罗BD韩语中字.rmvb
130,2017年美国6.6分科幻片《异星觉醒》BD中英双字",https://www.dy2018.com//i/98064.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]yx觉醒BD中英双字.rmvb
131,2016年阮经天杜鹃剧情爱情片《纽约纽约》BD国语中字",https://www.dy2018.com//i/96927.html,ftp://y:y@dygod18.com:15132/[电影天堂www.dy2018.com]纽约纽约BD国语中字.rmvb
132,2017年国产7.2分爱情片《喜欢你》HD高清国语中英双字",https://www.dy2018.com//i/98065.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]喜欢你HD高清国语中英双字.mkv
133,2017年美国7.7分喜剧片《一条狗的使命》BD国英双语中英双字",https://www.dy2018.com//i/97940.html,ftp://d:d@dygodj8.com:12311/[电影天堂www.dy2018.com]一条狗的使命BD国英双语中英双字.mkv
