渠道代号	日均UV	平均注册率	平均搜索量	访问深度	平均停留时间	订单转化率	投放总时间	素材类型	广告类型	合作方式	广告尺寸	广告卖点
A460	239.05 	0.0007 	0.0017 	1.1348 	306.17 	0.0004 	25.00 	jpg	banner	cpc	308*388	满减
A461	230.14 	0.0000 	0.0018 	1.0898 	272.55 	0.0001 	17.00 	jpg	banner	cpc	308*388	满减
A462	8.28 	0.0000 	0.0036 	1.0597 	232.46 	0.0006 	4.00 	jpg	banner	cpc	308*388	满减
A463	16.76 	0.0006 	0.0000 	1.1097 	348.37 	0.0000 	17.00 	jpg	banner	cpc	308*388	满减
A464	2.42 	0.0000 	0.0041 	1.0531 	178.38 	0.0000 	5.00 	jpg	banner	cpc	308*388	满减
A465	7.34 	0.0000 	0.0067 	1.1566 	333.67 	0.0003 	18.00 	jpg	banner	cpc	308*388	满减
A466	1.57 	0.0000 	0.0000 	1.6164 	193.02 	0.0000 	27.00 	jpg	banner	cpc	308*388	满减
A467	1.38 	0.0000 	0.0000 	2.0719 	197.82 	0.0000 	2.00 	jpg	banner	cpc	308*388	满减
A468	54.69 	0.0027 	0.0014 	2.2761 	216.27 	0.0015 	26.00 	jpg	banner	cpc	308*388	满减
A469	1.65 	0.0172 	0.0057 	2.4023 	252.81 	0.0029 	4.00 	jpg	banner	cpc	308*388	满减
A470	23.52 	0.0050 	0.0021 	2.5657 	188.77 	0.0014 	13.00 	jpg	banner	cpc	308*388	满减
A471	64.87 	0.0015 	0.0134 	2.2853 	248.46 	0.0015 	24.00 	jpg	banner	cpc	308*388	满减
A472	5.76 	0.0000 	0.0085 	1.6576 	101.15 	0.0025 	29.00 	jpg	banner	cpc	308*388	满减
A473	15.28 	0.0049 	0.0339 	2.5675 	291.15 	0.0067 	14.00 	jpg	banner	cpc	308*388	满减
A474	50.49 	0.0041 	0.0285 	2.7619 	207.25 	0.0033 	26.00 	jpg	banner	cpc	308*388	满减
A475	0.96 	0.0100 	0.0300 	2.3200 	183.64 	0.0000 	19.00 	jpg	banner	cpc	308*388	满减
A476	0.72 	0.0000 	0.0676 	1.8378 	256.22 	0.0066 	22.00 	jpg	banner	cpc	308*388	满减
A477	48.73 	0.0016 	0.0116 	1.8536 	155.87 	0.0024 	16.00 	jpg	banner	cpc	308*388	满减
A478	207.03 	0.0019 	0.0100 	1.9715 	153.84 	0.0024 	4.00 	jpg	banner	cpc	308*388	满减
A479	1.10 	0.0000 	0.0179 	1.7143 	237.55 	0.0000 	9.00 	jpg	banner	cpc	308*388	满减
A480	1.89 	0.0000 	0.0206 	1.9845 	199.78 	0.0025 	4.00 	jpg	banner	cpc	308*388	满减
A481	1.94 	0.0000 	0.0000 	1.3969 	103.57 	0.0000 	19.00 	jpg	banner	cpc	308*388	满减
A482	0.75 	0.0000 	0.0132 	1.8158 	69.00 	0.0000 	22.00 	jpg	banner	cpc	308*388	满减
A483	35.67 	0.0019 	0.0067 	2.1810 	240.52 	0.0027 	1.00 	jpg	banner	cpc	308*388	满减
A484	170.53 	0.0006 	0.0035 	1.4886 	215.68 	0.0009 	27.00 	jpg	banner	cpc	308*388	满减
A485	0.99 	0.0000 	0.0000 	2.5882 	207.30 	0.0072 	29.00 	jpg	banner	cpc	308*388	满减
A486	39.95 	0.0059 	0.0168 	3.3213 	331.23 	0.0073 	19.00 	jpg	banner	cpc	308*388	满减
A487	3.92 	0.0000 	0.0148 	2.6576 	257.91 	0.0097 	13.00 	jpg	banner	cpc	308*388	满减
A488	178.82 	0.0000 	0.0018 	1.3158 	226.92 	0.0000 	23.00 	jpg	banner	cpc	308*388	满减
A489	1.66 	0.0056 	0.0056 	2.9333 	406.77 	0.0057 	20.00 	jpg	banner	cpc	308*388	满减
A490	0.72 	0.0000 	0.0000 	1.0685 	162.25 	0.0000 	18.00 	jpg	banner	cpc	308*388	满减
A491	27.05 	0.0030 	0.0100 	3.0344 	303.63 	0.0048 	11.00 	jpg	banner	cpc	308*388	满减
A492	883.28 	0.0000 	0.0017 	1.3782 	234.83 	0.0001 	26.00 	jpg	banner	cpc	308*388	满减
A493	9.94 	0.0039 	0.0088 	2.7251 	276.92 	0.0034 	4.00 	jpg	banner	cpc	308*388	满减
A494	60.51 	0.0038 	0.0081 	2.0799 	250.96 	0.0076 	5.00 	jpg	banner	cpc	308*388	满减
A495	4.67 	0.0000 	0.0021 	1.6050 	160.15 	0.0010 	9.00 	jpg	banner	cpc	308*388	满减
A496	115.65 	0.0021 	0.0088 	2.2557 	161.46 	0.0022 	10.00 	jpg	banner	cpc	308*388	满减
A497	3.66 	0.0026 	0.0053 	2.2381 	445.52 	0.0065 	13.00 	jpg	banner	cpc	308*388	满减
A498	3.46 	0.0056 	0.0056 	3.0084 	299.03 	0.0062 	25.00 	jpg	banner	cpc	308*388	满减
A499	0.79 	0.0000 	0.0125 	2.5875 	251.05 	0.0030 	16.00 	jpg	banner	cpc	308*388	满减
A500	2.44 	0.0000 	0.0040 	1.9798 	331.64 	0.0020 	15.00 	jpg	banner	cpc	308*388	满减
A501	12.96 	0.0015 	0.0030 	1.9888 	332.69 	0.0028 	28.00 	jpg	banner	cpc	308*388	满减
A502	12.35 	0.0000 	0.0000 	2.0088 	101.04 	0.0002 	11.00 	jpg	banner	cpc	308*388	满减
A503	0.71 	0.0000 	0.0000 	1.2639 	103.50 	0.0000 	1.00 	jpg	banner	cpc	308*388	满减
A504	0.73 	0.0000 	0.0000 	1.5205 	198.87 	0.0000 	6.00 	jpg	banner	cpc	308*388	满减
A505	0.99 	0.0000 	0.0000 	1.9910 	601.89 	0.0024 	22.00 	jpg	banner	cpc	308*388	满减
A553	18.65 	0.0016 	0.0058 	1.3014 	136.01 	0.0009 	7.00 	jpg	banner	cpc	308*388	满赠
A554	0.67 	0.0000 	0.0282 	2.5634 	451.17 	0.0000 	19.00 	jpg	banner	cpc	308*388	满赠
A555	2.21 	0.0000 	0.0090 	1.6099 	132.83 	0.0043 	20.00 	jpg	banner	cpc	308*388	满赠
A556	1.27 	0.0000 	0.0075 	1.6940 	290.44 	0.0000 	24.00 	jpg	banner	cpc	308*388	满赠
A557	44.05 	0.0042 	0.0182 	3.2005 	297.96 	0.0023 	9.00 	jpg	banner	cpc	308*388	满赠
A558	4.60 	0.0000 	0.0106 	1.2399 	274.75 	0.0000 	9.00 	jpg	banner	cpc	308*388	满赠
A559	19.39 	0.0062 	0.0167 	3.0434 	320.77 	0.0029 	8.00 	jpg	banner	cpc	308*388	满赠
A560	7.56 	0.0013 	0.0125 	3.1388 	324.83 	0.0028 	21.00 	jpg	banner	cpc	308*388	满赠
A561	77.25 	0.0064 	0.0165 	3.2928 	291.31 	0.0038 	25.00 	jpg	banner	cpc	308*388	满赠
A562	34.01 	0.0054 	0.0196 	3.4732 	349.33 	0.0036 	13.00 	jpg	banner	cpc	308*388	满赠
A563	9.83 	0.0029 	0.0118 	2.2784 	320.62 	0.0019 	1.00 	jpg	banner	cpc	308*388	满赠
A564	23.48 	0.0099 	0.0163 	3.1674 	305.89 	0.0055 	14.00 	jpg	banner	cpc	308*388	满赠
A565	29.69 	0.0019 	0.0133 	1.8800 	221.56 	0.0014 	7.00 	jpg	banner	cpc	308*388	满赠
A566	30.20 	0.0097 	0.0184 	2.7905 	381.24 	0.0054 	21.00 	jpg	banner	cpc	308*388	满赠
A567	2.90 	0.0000 	0.0126 	2.8454 	375.19 	0.0016 	29.00 	jpg	banner	cpc	308*388	满赠
A568	0.61 	0.0000 	0.0704 	2.8592 	436.05 	0.0000 	16.00 	jpg	banner	cpc	308*388	满赠
A844	1827.19 	0.0000 	0.0021 	2.4351 	94.47 	0.0001 	10.00 	jpg	banner	cpc	308*388	秒杀
A845	1850.26 	0.0000 	0.0021 	2.4714 	92.25 	0.0001 	26.00 	jpg	banner	cpc	308*388	秒杀
A846	25294.77 	0.0013 	0.0056 	2.0443 	291.37 	0.0019 	1.00 	jpg	banner	cpc	308*388	秒杀
A847	4064.10 	0.0008 	0.0045 	3.1884 	156.86 	0.0013 	28.00 	jpg	banner	cpc	308*388	秒杀
A848	1810.84 	0.0001 	0.0027 	2.4701 	104.47 	0.0003 	5.00 	jpg	banner	cpc	308*388	秒杀
A849	6822.28 	0.0004 	0.0067 	2.7575 	147.05 	0.0009 	22.00 	jpg	banner	roi	308*388	秒杀
A850	12068.18 	0.0031 	0.0266 	3.4892 	273.50 	0.0047 	10.00 	jpg	banner	cpc	308*388	秒杀
A851	8.52 	0.0000 	0.0000 	2.2837 	174.27 	0.0000 	10.00 	jpg	banner	cpc	308*388	秒杀
A852	1.70 	0.0000 	0.0000 	1.9708 	108.10 	0.0000 	26.00 	jpg	banner	cpc	308*388	秒杀
A853	16752.95 	0.0013 	0.0197 	2.0797 	327.89 	0.0020 	1.00 	jpg	banner	cpc	308*388	秒杀
A854	5.07 	0.0000 	0.0000 	1.5582 	101.17 	0.0000 	15.00 	jpg	banner	cpc	308*388	秒杀
A855	14.84 	0.0000 	0.0000 	1.0721 	185.03 	0.0000 	12.00 	jpg	banner	cpc	308*388	秒杀
A856	4304.33 	0.0012 	0.0089 	3.0204 	132.64 	0.0019 	30.00 	jpg	banner	cpc	308*388	秒杀
A857	5.08 	0.0000 	0.0000 	1.6621 	63.73 	0.0000 	9.00 	jpg	banner	cpc	308*388	秒杀
A858	1.15 	0.0000 	0.0086 	1.7759 	77.45 	0.0000 	25.00 	jpg	banner	cpc	308*388	秒杀
A859	0.53 	0.0278 	0.0000 	9.9583 	680.03 	0.0719 	24.00 	jpg	banner	roi	308*388	秒杀
A860	0.65 	0.0000 	0.3049 	5.9268 	438.96 	0.0183 	29.00 	jpg	banner	roi	308*388	秒杀
A49	2.80 	0.0000 	0.0000 	1.1815 	156.15 	0.0000 	16.00 	swf	tips	cpm	450*300	打折
A50	0.62 	0.0000 	0.0000 	5.8497 	731.24 	0.0307 	22.00 	swf	tips	cpm	450*300	打折
A51	0.75 	0.0118 	0.0000 	2.3412 	358.06 	0.0032 	26.00 	swf	tips	cpm	450*300	打折
A52	0.71 	0.0000 	0.0000 	1.6316 	595.08 	0.0000 	9.00 	swf	tips	cpm	450*300	打折
A53	0.69 	0.0000 	0.0106 	1.7234 	339.95 	0.0000 	26.00 	swf	tips	cpm	450*300	打折
A54	10.37 	0.0027 	0.2581 	2.0878 	460.32 	0.0023 	16.00 	swf	tips	cpm	450*300	打折
A55	22.03 	0.0028 	0.2730 	1.9634 	331.80 	0.0026 	9.00 	swf	tips	cpm	450*300	打折
A56	8.69 	0.0052 	0.2721 	2.2492 	320.94 	0.0030 	27.00 	swf	tips	cpm	450*300	打折
A57	1371.16 	0.0007 	0.0032 	1.3058 	196.46 	0.0005 	15.00 	swf	tips	cpm	450*300	打折
A58	8022.95 	0.0015 	0.0028 	1.2836 	222.02 	0.0006 	13.00 	swf	tips	cpm	450*300	打折
A118	689.18 	0.0001 	0.0041 	1.2746 	347.71 	0.0002 	11.00 	swf	tips	cpc	450*300	打折
A119	711.71 	0.0002 	0.0012 	1.2957 	229.33 	0.0001 	3.00 	swf	tips	cpc	450*300	打折
A120	51.28 	0.0004 	0.0109 	1.1680 	261.29 	0.0003 	14.00 	swf	tips	cpc	450*300	打折
A121	837.77 	0.0000 	0.0013 	1.1692 	695.05 	0.0000 	27.00 	swf	tips	cpc	450*300	打折
A122	397.34 	0.0000 	0.0026 	1.1392 	687.09 	0.0000 	13.00 	swf	tips	cpc	450*300	打折
A123	838.98 	0.0000 	0.0001 	1.0621 	375.92 	0.0000 	1.00 	swf	tips	cpc	450*300	打折
A124	1027.80 	0.0014 	0.0083 	2.0050 	420.23 	0.0027 	1.00 	swf	tips	cpc	450*300	打折
A125	776.93 	0.0032 	0.0056 	1.5872 	470.25 	0.0014 	26.00 	swf	tips	cpc	450*300	打折
A126	810.64 	0.0003 	0.0042 	1.4892 	511.82 	0.0004 	20.00 	swf	tips	cpc	450*300	打折
A127	515.57 	0.0019 	0.0019 	1.6943 	293.64 	0.0013 	10.00 	swf	tips	cpc	450*300	打折
A128	481.45 	0.0000 	0.0003 	1.2045 	521.41 	0.0001 	9.00 	swf	tips	cpc	450*300	打折
A129	378.75 	0.0000 	0.0019 	1.2483 	333.51 	0.0001 	9.00 	swf	tips	cpc	450*300	打折
A130	1061.24 	0.0001 	0.0009 	1.1294 	536.39 	0.0000 	13.00 	swf	tips	cpc	450*300	打折
A131	221.37 	0.0005 	0.0011 	1.3376 	247.39 	0.0005 	2.00 	swf	tips	cpc	450*300	打折
A132	699.72 	0.0001 	0.0039 	1.2969 	348.10 	0.0001 	26.00 	swf	tips	cpc	450*300	打折
A133	739.93 	0.0004 	0.0014 	1.3032 	236.05 	0.0001 	23.00 	swf	tips	cpc	450*300	打折
A134	56.04 	0.0000 	0.0070 	1.1712 	265.84 	0.0006 	25.00 	swf	tips	cpc	450*300	打折
A135	513.11 	0.0000 	0.0001 	1.0495 	400.81 	0.0000 	13.00 	swf	tips	cpc	450*300	打折
A136	607.28 	0.0001 	0.0021 	1.2340 	640.29 	0.0002 	1.00 	swf	tips	cpc	450*300	打折
A169	6101.12 	0.0001 	0.0012 	3.0462 	79.12 	0.0001 	17.00 	swf	tips	cpc	450*300	打折
A170	2.66 	0.0000 	0.0000 	1.0526 	209.60 	0.0000 	21.00 	swf	tips	cpc	450*300	打折
A171	2.15 	0.0000 	0.0000 	2.8930 	61.76 	0.0000 	30.00 	swf	tips	cpc	450*300	打折
A384	4782.88 	0.0000 	0.0017 	1.4086 	360.79 	0.0000 	3.00 	swf	tips	cpc	450*300	满减
A385	1553.42 	0.0000 	0.0003 	1.0074 	517.00 	0.0000 	4.00 	swf	tips	cpc	450*300	满减
A386	9276.45 	0.0000 	0.0002 	1.3062 	573.57 	0.0000 	26.00 	swf	tips	cpc	450*300	满减
A569	1696.80 	0.0006 	0.0025 	1.4892 	449.28 	0.0007 	27.00 	swf	tips	cpc	450*300	满赠
A671	2857.91 	0.0002 	0.0004 	1.1931 	504.90 	0.0004 	14.00 	swf	tips	cpc	450*300	直降
A672	617.93 	0.0004 	0.0004 	1.2230 	540.66 	0.0003 	4.00 	swf	tips	cpc	450*300	直降
A673	2774.65 	0.0005 	0.0040 	1.4392 	218.48 	0.0005 	11.00 	swf	tips	cpc	450*300	直降
A674	865.18 	0.0083 	0.0474 	4.8006 	406.20 	0.0108 	19.00 	swf	tips	cpc	450*300	直降
A675	1688.73 	0.0014 	0.0030 	1.7099 	231.09 	0.0006 	15.00 	swf	tips	cpc	450*300	直降
A676	4701.77 	0.0001 	0.0022 	1.4726 	402.40 	0.0001 	17.00 	swf	tips	cpc	450*300	直降
A677	3005.82 	0.0003 	0.0018 	1.2415 	466.74 	0.0003 	16.00 	swf	tips	cpc	450*300	直降
A678	73.63 	0.0011 	0.0032 	1.2954 	183.13 	0.0005 	15.00 	swf	tips	cpc	450*300	直降
A679	693.89 	0.0013 	0.0036 	1.5914 	232.55 	0.0011 	16.00 	swf	tips	cpc	450*300	直降
A680	1945.05 	0.0002 	0.0019 	1.3480 	619.79 	0.0003 	9.00 	swf	tips	cpc	450*300	直降
A681	146.68 	0.0011 	0.0021 	1.7829 	290.85 	0.0013 	26.00 	swf	tips	cpc	450*300	直降
A682	4001.49 	0.0000 	0.0002 	1.3918 	432.26 	0.0001 	9.00 	swf	tips	cpc	450*300	直降
A683	583.85 	0.0082 	0.0941 	4.1954 	392.90 	0.0106 	28.00 	swf	tips	cpc	450*300	直降
A684	1643.32 	0.0000 	0.0003 	1.0218 	575.75 	0.0000 	23.00 	swf	tips	cpc	450*300	直降
A686	6087.03 	0.0000 	0.0004 	1.5439 	764.75 	0.0000 	11.00 	swf	tips	cpc	450*300	直降
A687	3.44 	0.0000 	0.0000 	1.0287 	486.22 	0.0000 	22.00 	swf	tips	cpc	450*300	直降
A688	1.61 	0.0000 	0.0000 	1.0121 	298.53 	0.0000 	17.00 	swf	tips	cpc	450*300	直降
A861	66.02 	0.0000 	0.0036 	2.9038 	296.99 	0.0001 	30.00 	jpg	tips	roi	450*300	秒杀
A1	0.77 	0.0000 	0.0127 	1.9494 	340.73 	0.0000 	4.00 	swf	不确定	cpc	600*90	打折
A2	1.02 	0.0073 	0.3869 	4.2336 	487.93 	0.0023 	20.00 	swf	不确定	cpc	600*90	打折
A3	305.50 	0.0104 	0.0230 	5.0820 	410.24 	0.0117 	9.00 	swf	不确定	cpc	600*90	打折
A4	1189.39 	0.0004 	0.0027 	1.3700 	478.29 	0.0005 	1.00 	swf	不确定	cpc	600*90	打折
A5	1117.88 	0.0004 	0.0027 	1.4559 	440.44 	0.0007 	28.00 	swf	不确定	cpc	600*90	打折
A6	1063.37 	0.0005 	0.0012 	1.2821 	476.98 	0.0005 	29.00 	swf	不确定	cpc	600*90	打折
A7	3.11 	0.0052 	0.4031 	2.7881 	313.81 	0.0054 	13.00 	swf	不确定	cpc	600*90	打折
A8	0.77 	0.0115 	0.4138 	2.2299 	191.35 	0.0000 	2.00 	swf	不确定	cpc	600*90	打折
A9	4.97 	0.0057 	0.2702 	5.5553 	465.83 	0.0244 	24.00 	swf	不确定	cpc	600*90	打折
A10	1098.30 	0.0008 	0.0060 	1.9497 	448.69 	0.0007 	25.00 	swf	不确定	cpc	600*90	打折
A11	493.45 	0.0001 	0.0043 	1.3230 	368.06 	0.0000 	16.00 	swf	不确定	cpc	600*90	打折
A12	122.04 	0.0033 	0.0170 	2.7937 	365.16 	0.0032 	19.00 	swf	不确定	cpc	600*90	打折
A13	0.64 	0.0000 	0.3300 	5.7100 	666.30 	0.0112 	7.00 	swf	不确定	cpc	600*90	打折
A14	1.36 	0.0000 	0.2271 	4.9345 	628.01 	0.0105 	18.00 	swf	不确定	cpc	600*90	打折
A15	2.25 	0.0000 	0.2690 	4.5761 	465.62 	0.0190 	8.00 	swf	不确定	cpc	600*90	打折
A16	136.83 	0.0036 	0.0136 	2.6497 	367.05 	0.0036 	9.00 	swf	不确定	cpc	600*90	打折
A17	4.94 	0.0018 	0.0232 	3.4393 	458.02 	0.0082 	25.00 	swf	不确定	cpc	600*90	打折
A18	304.07 	0.0029 	0.0141 	2.7393 	369.61 	0.0028 	14.00 	swf	不确定	cpc	600*90	打折
A19	0.80 	0.0000 	0.0230 	1.7586 	185.38 	0.0000 	11.00 	swf	不确定	cpc	600*90	打折
A20	0.07 	0.0079 	0.0000 	2.1587 	813.25 	0.0680 	1.00 	swf	不确定	cpc	600*90	打折
A35	0.17 	0.0000 	0.0000 	4.7791 	283.99 	0.0000 	25.00 	jpg	不确定	roi	600*90	打折
A42	617.68 	0.0000 	0.0021 	1.1434 	147.66 	0.0000 	7.00 	jpg	不确定	cpc	600*90	打折
A43	810.12 	0.0001 	0.0019 	1.1485 	77.19 	0.0001 	12.00 	jpg	不确定	cpc	600*90	打折
