age,gender,income,rfm_score,response
40,1,55267,0,0
67,1,55266,0,0
67,1,55266,0,0
37,0,55266,0,0
24,1,55263,0,0
61,0,55262,0,0
40,0,55259,0,0
40,0,55259,0,0
36,0,55259,0,0
36,0,55259,0,0
26,0,55259,0,0
26,0,55259,0,0
44,1,55258,0,0
44,1,55258,0,0
31,1,55258,0,0
31,1,55258,0,0
51,0,55258,0,0
37,0,55258,0,0
37,0,55258,0,0
23,0,55256,0,0
23,0,55256,0,0
39,1,55255,0,0
39,1,55255,0,0
34,0,55255,0,0
46,1,55253,0,0
40,1,55253,0,0
40,1,55253,0,0
26,0,55253,0,0
26,0,55253,0,0
37,1,55252,0,0
37,1,55252,0,0
33,1,55252,0,0
33,1,55252,0,0
31,1,55252,0,0
31,1,55252,0,0
49,1,55251,0,0
49,1,55251,0,0
46,0,55251,0,0
41,1,55188,0,0
46,0,55154,0,0
39,0,55141,0,0
39,0,55141,0,0
48,0,55137,0,0
51,0,55136,0,0
51,0,55136,0,0
50,0,55136,0,0
50,0,55136,0,0
38,0,55126,0,0
21,1,55120,0,0
63,1,55112,0,0
54,0,55104,0,0
54,0,55104,0,0
37,1,55102,0,0
50,0,55101,0,0
50,0,55101,0,0
32,0,55099,0,0
32,0,55099,0,0
50,0,55096,0,0
46,0,55084,0,0
46,0,55084,0,0
38,0,55082,0,0
38,0,55082,0,0
31,0,55078,0,0
31,0,55078,0,0
36,1,55077,0,0
35,0,55074,0,0
29,1,55073,0,0
47,1,55070,0,0
47,1,55070,0,0
43,1,55067,0,0
42,1,55057,0,0
36,0,55057,0,0
24,0,55056,0,0
20,0,55056,0,0
45,1,55055,0,0
20,1,55044,0,0
20,1,55044,0,0
27,0,55037,0,0
52,1,55031,0,0
52,1,55031,0,0
66,1,55029,0,0
58,1,55028,0,0
53,1,55027,0,0
53,1,55027,0,0
35,1,55024,0,0
35,1,55024,0,0
42,0,55023,0,0
42,0,55023,0,0
78,0,55021,0,0
31,0,55017,0,0
31,0,55017,0,0
29,0,55011,0,0
29,0,55011,0,0
20,0,55011,0,0
20,0,55011,0,0
38,1,55009,0,0
46,1,55007,0,0
43,1,55007,0,0
31,1,55007,0,0
31,1,55007,0,0
51,0,55007,0,0
51,0,55007,0,0
32,0,55007,0,0
39,1,55001,0,0
39,1,55001,0,0
45,1,54997,0,0
29,0,54997,0,0
45,1,54996,0,0
45,1,54996,0,0
28,1,54996,0,0
28,1,54996,0,0
34,0,54993,0,0
34,0,54993,0,0
42,0,54992,0,0
45,0,54973,0,0
40,0,54973,0,0
66,1,54972,0,0
19,0,54970,0,0
52,0,54965,0,0
52,0,54965,0,0
38,0,54962,0,0
54,0,54954,0,0
40,0,54949,0,0
38,1,54948,0,0
38,1,54948,0,0
38,1,54948,0,0
54,1,54946,0,0
54,1,54946,0,0
25,0,54944,0,0
36,1,54943,0,0
33,1,54943,0,0
33,1,54943,0,0
31,0,54941,0,0
44,0,54938,0,0
40,0,54938,0,0
40,0,54938,0,0
69,1,54937,0,0
37,1,54937,0,0
37,1,54937,0,0
42,0,54937,0,0
37,0,54937,0,0
37,0,54937,0,0
31,0,54935,0,0
38,0,54935,0,0
38,0,54935,0,0
35,1,54931,0,0
35,1,54931,0,0
55,1,54930,0,0
38,0,54930,0,0
38,1,54929,0,0
38,1,54929,0,0
30,0,54929,0,0
42,1,54927,0,0
39,1,54926,0,0
62,0,54925,0,0
41,1,54924,0,0
38,1,54924,0,0
38,1,54924,0,0
42,1,54923,0,0
42,1,54923,0,0
45,0,54922,0,0
45,0,54922,0,0
55,1,54921,0,0
45,1,54919,0,0
45,1,54919,0,0
20,1,54919,0,0
20,1,54919,0,0
46,1,54918,0,0
39,1,54918,0,0
50,1,54916,0,0
50,1,54916,0,0
47,1,54916,0,0
47,1,54916,0,0
42,1,54916,0,0
35,0,54915,0,0
40,0,54913,0,0
40,0,54913,0,0
30,0,54913,0,0
22,0,54913,0,0
42,1,54912,0,0
27,1,54912,0,0
27,1,54912,0,0
36,1,54911,0,0
43,1,54910,0,0
24,1,54910,0,0
24,1,54910,0,0
47,1,54905,0,0
31,1,54905,0,0
49,0,54905,0,0
18,0,54903,0,0
14,0,54903,0,0
26,0,54901,0,0
24,1,54901,0,0
48,0,54901,0,0
48,0,54901,0,0
32,0,54901,0,0
57,0,54899,0,0
26,0,54898,0,0
26,0,54898,0,0
27,1,54897,0,0
33,0,54897,0,0
33,0,54897,0,0
46,1,54896,0,0
49,0,54896,0,0
47,0,54896,0,0
36,1,54894,0,0
47,0,54894,0,0
29,0,54893,0,0
29,0,54893,0,0
35,1,54892,0,0
28,0,54892,0,0
28,0,54892,0,0
57,0,54891,0,0
30,0,54891,0,0
30,0,54890,0,0
53,1,54889,0,0
45,0,54888,0,0
45,0,54888,0,0
51,0,54885,0,0
18,1,54883,0,0
56,0,54883,0,0
50,1,54882,0,0
37,1,54882,0,0
35,1,54881,0,0
35,1,54881,0,0
44,0,54879,0,0
44,0,54879,0,0
38,1,54877,0,0
38,1,54877,0,0
59,1,54875,0,0
59,1,54875,0,0
34,1,54875,0,0
34,1,54874,0,0
42,0,54872,0,0
59,0,54871,0,0
48,1,54869,0,0
33,1,54869,0,0
38,0,54869,0,0
38,0,54869,0,0
23,0,54869,0,0
27,1,54868,0,0
27,1,54868,0,0
43,1,54866,0,0
56,0,54866,0,0
56,0,54866,0,0
39,0,54866,0,0
39,1,54863,0,0
39,1,54863,0,0
33,0,54863,0,0
33,0,54863,0,0
45,1,54862,0,0
45,1,54862,0,0
51,1,54861,0,0
21,1,54861,0,0
21,1,54861,0,0
41,1,54860,0,0
41,1,54860,0,0
46,0,54860,0,0
46,0,54860,0,0
53,0,54857,0,0
88,1,54855,0,0
88,1,54855,0,0
43,1,54852,0,0
30,1,54846,0,0
33,0,54844,0,0
33,0,54844,0,0
55,1,54843,0,0
30,1,54839,0,0
30,1,54839,0,0
38,1,54833,0,0
38,0,54831,0,0
38,0,54831,0,0
40,0,54827,0,0
32,1,54821,0,0
32,1,54821,0,0
27,1,54814,0,0
27,1,54814,0,0
46,0,54797,0,0
46,0,54797,0,0
29,0,54796,0,0
31,0,54793,0,0
31,0,54782,0,0
31,0,54782,0,0
26,0,54779,0,0
32,1,54773,0,0
32,1,54773,0,0
30,1,54766,0,0
60,0,54761,0,0
72,0,54760,0,0
36,1,54757,0,0
36,1,54757,0,0
47,1,54699,0,0
37,1,54648,0,0
37,1,54648,0,0
34,1,54648,0,0
34,1,54648,0,0
22,1,54647,0,0
22,1,54647,0,0
30,0,54645,0,0
51,1,54644,0,0
48,1,54639,0,0
40,1,54635,0,0
40,1,54635,0,0
49,1,54632,0,0
49,1,54632,0,0
41,0,54632,0,0
41,0,54632,0,0
35,1,54630,0,0
35,1,54630,0,0
59,0,54629,0,0
54,0,54628,0,0
54,0,54628,0,0
30,1,54625,0,0
53,0,54623,0,0
48,0,54622,0,0
44,0,54622,0,0
44,0,54622,0,0
43,0,54622,0,0
40,0,54614,0,0
46,1,54612,0,0
32,1,54611,0,0
28,1,54611,0,0
18,0,54611,0,0
42,1,54610,0,0
42,1,54610,0,0
66,0,54598,0,0
66,0,54598,0,0
40,0,54595,0,0
41,0,54593,0,0
41,0,54593,0,0
13,0,54593,0,0
13,0,54593,0,0
67,1,54590,0,0
28,1,54584,0,0
28,1,54584,0,0
31,1,54583,0,0
16,1,54576,0,0
39,1,54573,0,0
39,1,54573,0,0
38,1,54573,0,0
38,1,54573,0,0
46,1,54570,0,0
40,1,54559,0,0
45,1,54556,0,0
46,0,54555,0,0
31,0,54526,0,0
37,1,54450,0,0
37,1,54450,0,0
36,1,54449,0,0
36,1,54449,0,0
29,1,54449,0,0
54,1,54448,0,0
54,1,54448,0,0
47,0,54448,0,0
37,1,54443,0,0
37,1,54443,0,0
54,1,54440,0,0
31,1,54440,0,0
54,1,54438,0,0
39,1,54438,0,0
24,1,54438,0,0
24,0,54435,0,0
24,0,54435,0,0
35,1,54434,0,0
48,1,54433,0,0
30,1,54431,0,0
30,0,54428,0,0
44,0,54427,0,0
36,1,54424,0,0
58,0,54424,0,0
58,0,54424,0,0
32,1,54419,0,0
29,0,54419,0,0
29,0,54419,0,0
52,1,54418,0,0
39,1,54418,0,0
41,0,54418,0,0
41,0,54418,0,0
44,1,54415,0,0
44,1,54415,0,0
30,0,54415,0,0
41,0,54414,0,0
41,0,54414,0,0
42,1,54413,0,0
41,0,54413,0,0
35,0,54411,0,0
35,0,54411,0,0
39,1,54410,0,0
33,1,54409,0,0
38,0,54407,0,0
80,1,54406,0,0
80,1,54406,0,0
25,1,54406,0,0
22,1,54405,0,0
22,1,54405,0,0
49,1,54404,0,0
19,1,54402,0,0
51,0,54402,0,0
31,1,54400,0,0
34,1,54399,0,0
34,1,54399,0,0
58,1,54398,0,0
58,1,54398,0,0
28,1,54398,0,0
51,0,54398,0,0
51,0,54398,0,0
37,1,54396,0,0
37,1,54396,0,0
17,0,54396,0,0
43,1,54395,0,0
43,0,54395,0,0
58,0,54394,0,0
31,1,54393,0,0
39,0,54393,0,0
39,0,54393,0,0
18,0,54393,0,0
42,1,54391,0,0
44,1,54390,0,0
55,0,54390,0,0
55,0,54390,0,0
49,0,54389,0,0
49,0,54389,0,0
28,1,54388,0,0
52,1,54386,0,0
52,1,54386,0,0
35,1,54386,0,0
36,0,54383,0,0
20,1,54383,0,0
20,1,54383,0,0
52,1,54381,0,0
30,1,54381,0,0
46,0,54381,0,0
57,0,54380,0,0
57,0,54380,0,0
53,1,54377,0,0
39,1,54375,0,0
39,1,54375,0,0
33,0,54374,0,0
34,1,54373,0,0
29,1,54373,0,0
29,1,54373,0,0
56,0,54373,0,0
56,0,54373,0,0
46,0,54373,0,0
40,1,54371,0,0
33,1,54371,0,0
33,1,54371,0,0
48,1,54369,0,0
48,1,54369,0,0
54,0,54366,0,0
54,0,54366,0,0
36,1,54363,0,0
36,1,54363,0,0
69,0,54363,0,0
38,0,54363,0,0
38,0,54363,0,0
66,0,54361,0,0
66,0,54361,0,0
43,0,54361,0,0
53,0,54360,0,0
53,0,54360,0,0
40,0,54359,0,0
40,0,54359,0,0
36,0,54359,0,0
36,0,54359,0,0
61,0,54358,0,0
43,1,54357,0,0
43,1,54357,0,0
39,1,54357,0,0
35,1,54357,0,0
35,1,54357,0,0
33,0,54355,0,0
57,0,54353,0,0
30,0,54352,0,0
30,0,54352,0,0
69,1,54351,0,0
69,1,54351,0,0
40,0,54348,0,0
30,0,54345,0,0
49,1,54334,0,0
49,1,54334,0,0
16,1,54326,0,0
60,0,54318,0,0
60,0,54318,0,0
34,1,54311,0,0
39,1,54310,0,0
39,1,54310,0,0
44,1,54305,0,0
47,1,54302,0,0
45,1,54301,0,0
28,1,54298,0,0
44,0,54296,0,0
44,0,54296,0,0
36,1,54287,0,0
64,1,54277,0,0
64,1,54277,0,0
38,1,54275,0,0
34,0,54273,0,0
32,0,54263,0,0
32,0,54263,0,0
69,1,54261,0,0
48,1,54260,0,0
36,0,54258,0,0
41,1,54254,0,0
41,1,54254,0,0
46,0,54251,0,0
44,1,54250,0,0
44,1,54250,0,0
45,1,54230,0,0
23,0,54211,0,0
23,0,54211,0,0
48,1,54206,0,0
48,1,54206,0,0
33,0,54188,0,0
61,0,54186,0,0
34,1,54176,0,0
51,1,54175,0,0
28,0,54160,0,0
47,0,54140,0,0
38,1,54139,0,0
38,1,54139,0,0
44,1,54136,0,0
44,1,54136,0,0
37,1,54117,0,0
49,0,54117,0,0
40,0,54114,0,0
40,0,54114,0,0
41,0,54105,0,0
36,1,54103,0,0
35,1,54092,0,0
27,1,54086,0,0
40,1,54066,0,0
40,0,54063,0,0
26,1,54062,0,0
46,1,54050,0,0
46,1,54050,0,0
23,0,54050,0,0
23,0,54050,0,0
43,1,54047,0,0
43,1,54047,0,0
48,0,54047,0,0
48,0,54047,0,0
21,0,54047,0,0
37,0,54046,0,0
37,0,54046,0,0
32,0,54046,0,0
36,1,54045,0,0
36,1,54045,0,0
53,0,54044,0,0
31,0,54044,0,0
29,0,54044,0,0
49,1,54042,0,0
43,0,54042,0,0
43,0,54042,0,0
34,0,54042,0,0
17,0,54042,0,0
28,0,54041,0,0
37,1,54038,0,0
39,1,54033,0,0
42,1,54030,0,0
48,0,54028,0,0
28,0,54028,0,0
28,0,54028,0,0
31,1,54027,0,0
34,0,54027,0,0
34,0,54027,0,0
43,1,54024,0,0
38,1,54021,0,0
48,1,54019,0,0
48,1,54019,0,0
36,1,54019,0,0
29,1,54017,0,0
29,1,54017,0,0
52,1,54016,0,0
52,1,54016,0,0
38,1,54015,0,0
40,1,54014,0,0
40,1,54014,0,0
27,1,54014,0,0
27,1,54014,0,0
44,0,54014,0,0
65,1,54008,0,0
49,1,54006,0,0
27,1,54005,0,0
42,0,54004,0,0
42,0,54004,0,0
57,0,54003,0,0
80,0,54000,0,0
19,0,54000,0,0
19,0,54000,0,0
42,0,53999,0,0
24,1,53995,0,0
24,1,53995,0,0
18,0,53994,0,0
53,1,53992,0,0
39,1,53992,0,0
39,0,53992,0,0
15,1,53990,0,0
15,1,53990,0,0
52,1,53984,0,0
52,1,53984,0,0
46,1,53984,0,0
67,1,53982,0,0
35,1,53981,0,0
26,0,53979,0,0
44,1,53979,0,0
44,1,53979,0,0
38,0,53979,0,0
51,1,53978,0,0
51,1,53978,0,0
38,0,53978,0,0
50,0,53977,0,0
39,1,53975,0,0
39,1,53975,0,0
33,0,53975,0,0
33,0,53975,0,0
28,0,53975,0,0
28,0,53975,0,0
22,0,53973,0,0
36,0,53972,0,0
36,0,53972,0,0
34,1,53971,0,0
34,1,53971,0,0
30,1,53971,0,0
40,0,53971,0,0
25,0,53970,0,0
44,0,53963,0,0
53,1,53959,0,0
23,1,53959,0,0
23,1,53959,0,0
44,1,53958,0,0
43,1,53958,0,0
43,1,53958,0,0
25,1,53958,0,0
25,1,53958,0,0
39,1,53954,0,0
39,1,53954,0,0
32,0,53954,0,0
57,0,53947,0,0
57,0,53947,0,0
35,0,53874,0,0
35,0,53874,0,0
47,1,53845,0,0
47,1,53845,0,0
25,1,53843,0,0
25,1,53843,0,0
28,1,53842,0,0
42,1,53831,0,0
31,0,53825,0,0
41,0,53823,0,0
58,0,53801,0,0
38,1,53790,0,0
51,0,53775,0,0
49,1,53767,0,0
33,1,53743,0,0
56,0,53738,0,0
56,0,53738,0,0
40,1,53694,0,0
40,1,53694,0,0
51,0,53661,0,0
27,1,53632,0,0
52,1,53630,0,0
38,0,53622,0,0
38,0,53622,0,0
42,1,53618,0,0
65,1,53606,0,0
64,0,53599,0,0
46,1,53592,0,0
46,1,53592,0,0
36,0,53591,0,0
36,0,53591,0,0
41,1,53590,0,0
35,1,53585,0,0
45,0,53577,0,0
45,0,53577,0,0
26,0,53577,0,0
63,0,53569,0,0
23,1,53566,0,0
32,1,53562,0,0
38,1,53557,0,0
37,0,53553,0,0
32,1,53539,0,0
68,0,53530,0,0
29,1,53521,0,0
32,0,53510,0,0
24,0,53489,0,0
33,1,53481,0,0
33,1,53481,0,0
30,1,53479,0,0
39,1,53453,0,0
33,1,53449,0,0
33,0,53447,0,0
27,0,53447,0,0
47,1,53444,0,0
40,1,53439,0,0
53,0,53439,0,0
47,0,53439,0,0
47,0,53439,0,0
48,1,53434,0,0
46,0,53434,0,0
44,0,53434,0,0
44,0,53434,0,0
22,0,53433,0,0
19,1,53431,0,0
19,1,53431,0,0
34,1,53428,0,0
34,1,53428,0,0
42,0,53428,0,0
42,0,53428,0,0
63,0,53425,0,0
36,0,53425,0,0
47,0,53424,0,0
47,0,53424,0,0
71,1,53419,0,0
71,1,53419,0,0
63,0,53419,0,0
44,0,53419,0,0
44,0,53419,0,0
29,0,53416,0,0
49,1,53414,0,0
42,0,53412,0,0
42,0,53412,0,0
42,1,53410,0,0
42,1,53410,0,0
39,0,53404,0,0
76,0,53400,0,0
76,1,53399,0,0
38,1,53398,0,0
38,1,53398,0,0
38,0,53398,0,0
40,0,53397,0,0
45,0,53390,0,0
45,0,53390,0,0
44,0,53387,0,0
45,0,53386,0,0
42,0,53380,0,0
48,1,53378,0,0
48,1,53378,0,0
27,0,53376,0,0
36,0,53375,0,0
21,0,53374,0,0
43,0,53373,0,0
43,0,53373,0,0
40,0,53370,0,0
51,0,53369,0,0
42,1,53363,0,0
42,1,53363,0,0
39,1,53363,0,0
39,1,53363,0,0
48,1,53359,0,0
48,1,53359,0,0
35,0,53354,0,0
39,0,53353,0,0
39,0,53353,0,0
52,1,53351,0,0
57,0,53346,0,0
57,0,53346,0,0
23,1,53344,0,0
38,0,53342,0,0
38,0,53342,0,0
20,0,53336,0,0
20,0,53336,0,0
54,0,53328,0,0
54,0,53328,0,0
32,0,53323,0,0
20,0,53318,0,0
20,0,53318,0,0
52,0,53317,0,0
43,0,53314,0,0
37,1,53307,0,0
45,0,53306,0,0
30,0,53303,0,0
43,1,53279,0,0
40,0,53268,0,0
51,0,53260,0,0
48,0,53259,0,0
48,0,53259,0,0
44,0,53251,0,0
52,1,53250,0,0
52,1,53250,0,0
30,1,53250,0,0
24,1,53248,0,0
62,1,53243,0,0
62,1,53243,0,0
26,1,53243,0,0
26,1,53243,0,0
16,1,53243,0,0
43,0,53241,0,0
43,1,53236,0,0
43,1,53236,0,0
38,1,53236,0,0
33,1,53236,0,0
33,1,53236,0,0
50,0,53236,0,0
37,0,53236,0,0
28,0,53236,0,0
28,0,53236,0,0
48,1,53234,0,0
29,1,53233,0,0
29,1,53233,0,0
20,1,53233,0,0
45,1,53228,0,0
45,1,53228,0,0
37,0,53226,0,0
43,1,53223,0,0
31,1,53222,0,0
31,1,53222,0,0
33,0,53222,0,0
33,0,53222,0,0
41,1,53220,0,0
33,0,53217,0,0
39,1,53216,0,0
39,1,53216,0,0
54,1,53215,0,0
54,1,53215,0,0
53,0,53215,0,0
35,0,53214,0,0
30,0,53214,0,0
30,0,53214,0,0
25,0,53212,0,0
29,1,53208,0,0
29,1,53208,0,0
26,1,53206,0,0
39,0,53206,0,0
30,0,53204,0,0
25,1,53203,0,0
54,0,53202,0,0
54,0,53202,0,0
44,0,53201,0,0
44,0,53201,0,0
26,1,53196,0,0
45,0,53196,0,0
40,0,53195,0,0
40,0,53195,0,0
52,0,53193,0,0
52,0,53193,0,0
37,1,53192,0,0
37,1,53192,0,0
33,0,53190,0,0
40,1,53188,0,0
40,1,53188,0,0
40,1,53185,0,0
47,0,53185,0,0
47,0,53185,0,0
45,1,53184,0,0
37,1,53184,0,0
16,1,53184,0,0
16,1,53184,0,0
50,0,53184,0,0
50,0,53184,0,0
41,0,53184,0,0
34,0,53183,0,0
40,1,53182,0,0
35,1,53182,0,0
27,0,53182,0,0
20,0,53179,0,0
16,1,53178,0,0
45,1,53177,0,0
42,1,53177,0,0
14,1,53176,0,0
58,1,53175,0,0
60,1,53174,0,0
60,1,53174,0,0
39,1,53174,0,0
48,0,53173,0,0
33,0,53171,0,0
33,0,53171,0,0
32,0,53171,0,0
32,0,53171,0,0
48,0,53165,0,0
32,0,53165,0,0
42,0,53162,0,0
42,0,53162,0,0
25,0,53162,0,0
25,0,53162,0,0
70,0,53161,0,0
53,1,53160,0,0
62,0,53159,0,0
25,1,53156,0,0
11,0,53155,0,0
44,1,53154,0,0
21,1,53154,0,0
21,1,53154,0,0
31,0,53154,0,0
31,0,53154,0,0
20,0,53154,0,0
20,0,53154,0,0
66,1,53152,0,0
42,1,53152,0,0
39,0,53152,0,0
52,1,53151,0,0
52,1,53151,0,0
30,1,53151,0,0
43,1,53101,0,0
43,1,53101,0,0
26,0,53093,0,0
41,1,53087,0,0
33,0,53072,0,0
33,0,53072,0,0
40,0,52917,0,0
33,1,52880,0,0
35,1,52850,0,0
21,0,52849,0,0
21,0,52849,0,0
45,1,52848,0,0
45,0,52836,0,0
45,0,52836,0,0
29,0,52836,0,0
29,0,52836,0,0
36,1,52834,0,0
48,1,52828,0,0
28,1,52817,0,0
36,0,52807,0,0
20,0,52805,0,0
