hospitalAddress,hospitalDesc,hospitalName,hospitalSize
医院所在地：湖南-邵阳,"医务科科长,内科医师,市场部主任,妇瘤科主任,手术室护士,外科医师,放射医师,护士",邵阳珂信肿瘤医院,私立医院 50~200人人
,,,
医院所在地：云南-昆明,"妇产科医生,口腔执业医师,口腔助理医师",云南世启医院管理有限公司,医疗集团 少于50人人
,,,
医院所在地：浙江-杭州,"超声科医生,重症医学科医生",浙江省杭州市淳安县第一人民医院（浙江省人民医院淳安分院）,公立医院 500~1000人人
,,,
医院所在地：四川-巴中,"各科室（含辅助科室）住院医师,外科学科主任,临床医学,内科医生,麻醉医生",巴中博济医院,其他 50~200人人
,,,
医院所在地：江苏-扬州,"药剂科,妇产科,护理,检验科,护士,康复治疗师,内科,全科医生,中医科,内科医生",扬州市广陵区李典镇新坝卫生院,其他 200~500人人
,,,
医院所在地：广东-东莞,"矫正医生,口腔管理院长,咨询医生,口腔全科医生,口腔医师,口腔护士,全科口腔医生",东莞虎门雅宝口腔医院,其他 少于50人人
,,,
医院所在地：浙江-杭州,"西医内科,中医推拿师",临安市德康中医医院,私立医院 少于50人人
,,,
医院所在地：四川-成都,"口腔执业医生,内科执业医师（住院）",成都印钞有限公司医院,其他 50~200人人
,,,
医院所在地：甘肃-兰州,"检验师,中医医生,中医理疗师,中西医医生,各科医生",兰州市西固区先锋路街道花园小区社区卫生服务站,社区服务 50~200人人
,,,
医院所在地：四川-遂宁,"推拿技士,助理医师,护士,临床医生",安居西眉爱心医院,私立医院 50~200人人
,,,
医院所在地：黑龙江-佳木斯,"影像医生,药剂师,检验技师,内科住院医生,康复治疗师,康复科主任",佳木斯荣泰医院,其他 50~200人人
,,,
医院所在地：江苏-常州,"皮肤科,美容整形,护士,护士,外科,激光",溧阳市激光专科医院（清安医院）,其他 50~200人人
,,,
医院所在地：广东-广州,"护士,医助,导医,网络咨询专员,针灸推拿师,收银员,副主任中医师 ,院办干事,养护员 （仓库管理员）,客服专员,执业中药师,健康管理师,平面设计师,文案策划,市场营销员",广州为道医疗科技有限公司,其他 50~200人人
,,,
医院所在地：福建-厦门,"销售总监,活动策划执行,营养师,健康管理师",厦门家康天下健康管理有限公司,其他 50~200人人
,,,
医院所在地：四川-成都,"护士长,护理部主任,内窥镜医生,影像科医生,麻醉师,放射科医生,B超医生,消化内科住院医生",成都武侯博仕胃肠病医院,其他 50~200人人
,,,
医院所在地：广东-广州,"护士,导诊,门诊主任,针推医生,骨科医生,医药代表,药剂师",广州市天河区天平广华中医骨科门诊部,其他 少于50人人
,,,
医院所在地：福建-厦门,"外科,儿科,内科,B超医生,助产士,检验师,药剂士,口腔科医生",厦门集美杏西医院,私立医院 50~200人人
,,,
医院所在地：广东-韶关,"妇产科,外科,内科,儿科,中医科,眼耳鼻喉,影像,检验科,心电图,B超,骨科-学科带头人,普外科-学科带头人,妇产科-学科带头人,眼耳鼻喉-学科带头人,网络中心",始兴县人民医院,公立医院 200~500人人
,,,
医院所在地：上海-奉贤,"病房外科医助1,学科带头人,院长,内科医生,康复医师1,内科医助1,耳鼻喉科医师,口腔科医师,转诊人员,外科医生,B超技师1,B超医生,治疗护士1,导诊护士/导医1,库管员1,药士1,办公室文员1,新媒体编辑1,网络编辑,咨询医生",上海奉爱医院有限公司,专科医院 50~200人人
,,,
医院所在地：广东-广州,"销售经理,临床操作医生,技术支持工程师",欧之星(上海)激光设备有限公司,其他 50~200人人
,,,
医院所在地：贵州-六盘水,"耳鼻喉科医生,麻醉科医生,普外科医师,住院医生,超声医师,CT医师,妇产科医师,新生儿科医师,妇产科学科带头人,办公室主任,中医医师,收费员,库管员,设备维修技术员",贵州盘县新兴医院,其他 200~500人人
,,,
医院所在地：江苏-镇江,"护士,皮肤科医生,儿科医生,口腔医生",镇江市句容鑫成宾馆,其他 50~200人人
,,,
医院所在地：北京-朝阳,"药店市场负责人,参茸市场负责人,收费划价员,导医,中医医师,保健品营业员,市场专员,市场营销策划,医生助理,中药执业药师",北京博源堂中医门诊,其他 200~500人人
,,,
医院所在地：河北-廊坊,"内镜医生,护士,临床医师、护士,皮肤咨询人员",廊坊金盾医院,其他 少于50人人
,,,
医院所在地：四川-成都,"业务总监,资深咨询师,整形外科医生",成都金牛复丽医疗美容门诊部,专科医院 50~200人人
,,,
医院所在地：湖北-武汉,"临床医生,护士,全科",武汉鑫华门诊部,私立医院 50~200人人
,,,
医院所在地：安徽-合肥,"执业医师,护理",新站区红旗综合门诊部,其他 少于50人人
,,,
医院所在地：四川-宜宾,"中药剂师,康复医师,全科医师",宜宾丽雅中西医结合医院,专科医院 少于50人人
,,,
医院所在地：新疆-乌鲁木齐,"超声科医生,放射科诊断医生,心电图医生,外科女医生,内科女医生,客服",新疆美年大健康健康管理有限公司,其他 50~200人人
,,,
医院所在地：山东-菏泽,"执业医师,护士,儿科医生,妇科医生,B超技术人员,业务院长",单县康大医院,私立医院 50~200人人
,,,
医院所在地：广东-广州,"健康培训讲师,销售代表",广州瑞天健康管理咨询有限公司,其他 少于50人人
,,,
医院所在地：四川-成都,"内科住院医师,内科住院部主任,康复理疗科主任",成都权健医院,其他 少于50人人
,,,
医院所在地：陕西-西安,"护士,内科医生",西安新城圣奥诊所,其他 50~200人人
,,,
医院所在地：广东-佛山,"妇科医生,口腔科医生,外科医生,中医科医生,内科医生,护士,检验医生,B超医生",佛山市北滘兴健医疗综合门诊,其他 50~200人人
,,,
医院所在地：上海-闵行,"B超医生,康复技师长,护士,放射科医生,康复治疗师,药剂师,人力资源主管/经理,放射科技师,泌尿外科 ,神经外科,骨科 ,心血管内科,内分泌 ,肾病学,呼吸内科 ,神经内科,中医科医生,精神科医生（临床心理专业）,麻醉科医生,重症医学科（ICU）,门急诊主任/主管,病案编码员,人力资源部专员,康复医生,医疗质量控制员,医疗统计员,感染控制员,收费员,物价员（核费员）",上海永慈医院投资管理有限公司,其他 200~500人人
,,,
医院所在地：四川-成都,"内窥镜医师,彩超医师,检验技师,验科主任,外科主任,外科医生,消化内科主任,大内科主任,内科医生",成都双流蛟龙港医院,其他 少于50人人
,,,
医院所在地：湖北-武汉,"导医,心理医生,内科医生,护士长,检验医生,企划策划人员,药剂科医生,中医,外科医生,住院医生,助理医师,医学检验,药剂师",武汉北大白癜风医院,其他 50~200人人
,,,
医院所在地：浙江-金华,"放射医师,b超执业医生,放射科主任,外科执业医师,内科执业医生,眼科体检医师,妇科体检医师,口腔科体检医师,五官科体检医师,护士 ",金华美康国宾健康体检中心,其他 50~200人人
,,,
医院所在地：湖南-邵阳,"内科,影像,护士,检验",新邵县龙溪铺镇众康医院,其他 少于50人人
,,,
医院所在地：广东-深圳,"住院部护士,收费员,客服前台,导医,药剂师,医务科干事,B超医生,B超碎石医师,药剂员,输液室护士,药剂师,男科治疗室护士",深圳建国泌尿外科医院,私立医院 50~200人人
,,,
医院所在地：江苏-南京,"检验士,助产士,导医,影像医师,检验医师,导医,护士,妇产科医师,麻醉科医师",南京高淳妇康医院,专科医院 200~500人人
,,,
医院所在地：四川-德阳,"麻醉科医生,影像医生,妇产科医生,儿科医生,公共事业管理,预防医学 ,儿童保健医生 ,药剂师 ,康复医生 ",德阳市旌阳区妇幼保健院,公立医院 200~500人人
,,,
医院所在地：江苏-徐州,"中医针灸,医学检验,五官科医生,妇科住院医生,内科医生",徐州矿务集团第二医院,其他 50~200人人
,,,
医院所在地：四川-绵阳,"临床内科,临床毕业生,公共卫生,中医",三台县云同乡卫生院,其他 少于50人人
,,,
医院所在地：青海-西宁,"总检医师,健康管理营养师,B超医生,医师,护士",青海仁人门诊有限公司（西宁仁人体检中心）,其他 50~200人人
,,,
医院所在地：湖南-长沙,儿科医生,长沙贝诺儿科医院,其他 200~500人人
,,,
医院所在地：山东-青岛,"护士,心理医生,精神科医生,内科医生",青岛颐顺和心理卫生医院,其他 少于50人人
,,,
医院所在地：贵州-贵阳,"康复科,中医科,眼耳鼻喉科,内科住院医,呼吸内科",贵阳开磷百花医院,其他 50~200人人
,,,
医院所在地：贵州-铜仁,"设备维修科,功能科医师,神经消化科学科带头人,耳鼻咽喉科医师,肿瘤科学科带头人,规培医师,执业医师,硕士、研究生,B超室,口腔科学科带头人,皮肤科业务骨干,中医科业务骨干,病理科医师 ,呼吸内科业务骨干,感染科学科带头人/业务骨干,急诊科业务骨干,儿科、新生儿科医师,肾内科业务骨干,心内科业务骨干,脊柱外科业务骨干,泌尿外科学科带头人,耳鼻喉科业务骨干,神经内科医师,妇科主治医师,内分泌科业务骨干 ",贵州省铜仁市思南县人民医院,公立医院 1000人以上人
,,,
医院所在地：四川-成都,"医务科主任,临床类——外科专业,临床类——中医、中西医结合专业,急诊科医生,外科医生,超声科医生,骨科医生,肿瘤专科医生",成都锦江大观医院,其他 少于50人人
,,,
医院所在地：四川-成都,"前台,皮肤科医生",成都锦江伊莎贝拉医疗美容,专科医院 少于50人人
,,,
医院所在地：山东-泰安,"护士,肾内科医师",泰安圣康医院,其他 50~200人人
,,,
医院所在地：湖南-湘潭,"骨伤科医师,护士",湘潭华侨中医医院,其他 少于50人人
,,,
医院所在地：广东-深圳,眼科医生,深圳市明臣视光科技有限公司,其他 50~200人人
,,,
医院所在地：江西-萍乡,"  外科医生         ,外科医生",萍乡栗江医院,私立医院 少于50人人
,,,
医院所在地：贵州-黔南布依族苗族自治州,"内科医生,外科医生,妇产科医师,针灸科医生,眼耳鼻喉科医生,影像科医生,儿科医生,麻醉科医生,急诊科医生,检验科医生",贵州省瓮安县中医院,专科医院 少于50人人
,,,
医院所在地：江苏-南京,"内分泌科副主任医师,急诊科主治医师 ,心内科主治及以上医师,妇科主治及以上医师 ,肝胆外科副主任医师,内科主治医师,普外科主治医师 ,泌尿外科主治及以上医师,医学影像,内科副主任医师 ,普外科副主任医师 ,急诊科副主任医师",南京市高淳中医院,公立医院 200~500人人
,,,
医院所在地：山西-晋城,"医技,中医康复,麻醉,临床",晋城心脑血管病医院,其他 少于50人人
,,,
医院所在地：四川-德阳,"中医执业医师,针灸康复技师",什邡岷德烧伤医院,私立医院 50~200人人
,,,
医院所在地：广东-广州,"皮肤科医生，护士 ,皮肤科执业医师或助理医师 ",广州市美肤皮肤科诊所有限公司,其他 少于50人人
,,,
医院所在地：广东-广州,"保卫科负责人,设备科科员,总务科科员,供应科科员,财务审核专员,医保审核专员,统计师,硬件工程师,软件工程师,系统维护工程师,主管网络及硬件管理负责人,主管软件开发负责人,教学科负责人,科研科负责人,质量控制科负责人,门诊部负责人,感染管理科负责人,医务科负责人,人事科科员,人事处/科负责人",中山大学附属第七医院,公立医院 1000人以上人
,,,
医院所在地：安徽-合肥,"B超医生,针灸推拿师,口腔科医生,门诊收银员,护士",合肥滨湖永安中西医结合门诊部,其他 少于50人人
,,,
医院所在地：湖南-长沙,"耳鼻咽喉科学博士,外科学博士(泌尿外）,妇产科硕士,儿科硕士,病原生物学硕士 ,病理学与病理生理学硕士 ,外科学博士(神外）,基础医学博士,重症医学博士,神经病学博士,内科学博士（心血管病、内分泌与代谢病，呼吸系病、消化系病）,急诊医学博士,内科学硕士（血液病）,内科学硕士(心血管病）,内科学硕士(肾病）,内科学硕士（内分泌与代谢病）,内科学硕士(呼吸系病）,内科学硕士(风湿病）,内科学硕士（备注：心电图医师岗位）,麻醉学硕士,急诊医学硕士,基础医学硕士,中医内科学、中西医结合-硕士 ,中药学硕士,外科学硕士(神外）,外科学硕士(普外）,外科学硕士(泌尿外） ,外科学硕士(骨外）,神经病学硕士,皮肤病与性病学硕士,临床检验诊断学硕士,肿瘤学硕士,神经外科副主任医生,药学硕士,放射医学硕士,康复医学与理疗学硕士,康复医学科副主任医生,产科副主任医生,妇科副主任医生,重症医学科副主任医生,康复医学科科主任兼学科带头人,产科科主任兼学科带头人",长沙市第四医院,公立医院 1000人以上人
,,,
医院所在地：四川-内江,"骨科医生,康复医师,彩超医生,检验医师,麻醉医师,护理部主任,放射科,财务,收费员,办公室文员",内江中西骨科医院,专科医院 50~200人人
,,,
医院所在地：山东-济南,"新生儿医生,平面设计,护士,导医,检验士 师,B超,产科医生",济南安佳妇产医院有限责任公司,其他 50~200人人
,,,
医院所在地：云南-临沧,"胃镜医生,中医科医生,放射科医生",临翔区康桥医院,其他 50~200人人
,,,
医院所在地：云南-德宏傣族景颇族自治州,"眼科副主任医师,眼科住院医师,眼科主治",芒市华山正发眼科医院,其他 50~200人人
,,,
医院所在地：福建-厦门,"彩超医师  ,中医科,放射科,外科执业医师,内科执业医师,口腔护士,口腔医生",厦门康桥门诊部,其他 少于50人人
,,,
医院所在地：云南-昆明,"生物医学工程/物理学教师,医学检验教师,口腔医学教师,医学类教师(医学/病原生物学与免疫学/病理/生理学教学,医院院长,医务室医生(全科医生),肾内科主任医师,消化内科主任医师,消化内科主任医师,呼吸内科主任医师,心血管内科主任医师,急诊科医生,影像主任医师,妇产科主任医师,中医科主任医师,内科主治医,外科主治医,儿科主治医师,妇产科主治医师",云南昆卫教育集团,医疗集团 500~1000人人
,,,
医院所在地：云南-昆明,"诊所眼科主任,视光医生（眼科医生）,眼科医生,视光师,视光医生（眼科医生）,视光师,视光医生（眼科医生）,业务经理,视光医生（眼科医生）,诊所眼科主任",云南天明医疗投资有限公司,医疗集团 500~1000人人
,,,
医院所在地：四川-雅安,"医疗器械维修,医学影像学医师,妇产科医师,内科医师,康复治疗师,康复医师,皮肤科医师,口腔医师,儿科医师",荥经县人民医院,公立医院 200~500人人
,,,
医院所在地：湖北-黄石,"医生,护士 ",阳新城东新区竹林塘社区诊所,其他 少于50人人
,,,
医院所在地：山东-济南,"中医科医生,网络咨询/电话咨询,优秀客服人员,文案策划,手术室护士,美容外科医生助理,平面设计,办公室文员,外科医生,前台接待/导医,美容师",济南美康医院,公立医院 200~500人人
,,,
医院所在地：贵州-六盘水,"内外科主任,外科副高,内科副高,外科,内科,妇科,化验",盘县响水永康医院,其他 50~200人人
,,,
医院所在地：辽宁-沈阳,"收款员  ,会计  ,导诊  ,护士实习生,文员 ,护士,电工,儿科医生,医师助理,中医师 ,内科医生",沈阳惠民医院,其他 50~200人人
,,,
医院所在地：贵州-贵阳,"口腔执业医生,耳鼻喉医生,理疗康复",瓮安县明康医院,其他 少于50人人
,,,
医院所在地：山东-临沂,"儿科医师,外科医师,内科医师,药剂师,儿科医生,B超技师,体检人员,收银,策划设计,医院财务主管,妇科医生,导医",临沂商城医院,其他 50~200人人
,,,
医院所在地：湖南-郴州,"外科住院医生,麻醉医生,口腔科医生,内科医生,护士,妇科医生",桂阳双华医院,其他 50~200人人
,,,
医院所在地：湖北-仙桃,"护士,护士长,普外医师,内科医师,妇产科医师,超声技师,放射医师,检验技师",姚咀仁和医院,其他 50~200人人
,,,
医院所在地：云南-昆明,"护士,内科医师",云南兰茂止庵中医馆有限公司,其他 少于50人人
,,,
医院所在地：山东-青岛,"助理医师,护士,医师,中医 ,护工",青岛市北红十字护老院,其他 50~200人人
,,,
医院所在地：北京-大兴,"护士,口腔科医生,内科医生,接收实习生",北京惠健门诊,其他 50~200人人
,,,
医院所在地：甘肃-定西,"内科医生,精神科医生",定西康宁医院,其他 50~200人人
,,,
医院所在地：新疆-昌吉回族自治州,"内科医师,儿科医师（硕士以上）,重症医学硕士,急救医学硕士,老年病硕士,传染病硕士,医教部干事,院办秘书,医学信息统计硕士,卫生事业管理硕士,医学检验硕士,病理科硕士,医学影像学硕士,核医学硕士,血液病学硕士,儿科硕士,临床护理,急诊医师,妇科硕士",新疆昌吉州人民医院,公立医院 1000人以上人
,,,
医院所在地：安徽-阜阳,"护士,平面设计,网站编辑,彩超医生,内科医生",阜阳阳光医院,私立医院 50~200人人
,,,
医院所在地：宁夏-银川,"培训主管,会计,销售精英,销售总监,前台/总机/接待,体检中心前台客服",银川美年大健康医院,私立医院 200~500人人
,,,
医院所在地：云南-大理白族自治州,"护士,眼科医师",大理华山眼科医院有限公司,其他 少于50人人
,,,
医院所在地：云南-昆明,"护士,儿科",云南滇兴妇女儿童医院,其他 50~200人人
,,,
医院所在地：安徽-阜阳,"康复科医生,眼科住院医生,眼科手术医生",安徽省界首新宜眼科医院,其他 少于50人人
,,,
医院所在地：北京-大兴,"妇产科门诊医生,妇产科住院医生,儿科医生,眼科医生",北京市大兴区亦庄医院,其他 50~200人人
,,,
医院所在地：北京-海淀,"董事长助理,副总经理,中西医师",本唤投资集团,医疗集团 50~200人人
,,,
医院所在地：湖北-武汉,"业务院长,骨科医生,护士",武汉平乐中医骨伤医院有限公司,专科医院 50~200人人
,,,
医院所在地：四川-成都,"B超心电图医生,中医骨科,临床医学,内科医生",崇州健骨医院,私立医院 50~200人人
,,,
医院所在地：四川-成都,"中医师,医师",武侯区润康诊所,其他 少于50人人
,,,
医院所在地：湖北-孝感,"护士长  ,程序员 ,市场营销  ,运营总监 ,整形咨询师,美容皮肤科主任 ,整形外科主任医师 ",汉川市丽莱医疗美容门诊部,其他 少于50人人
,,,
医院所在地：黑龙江-佳木斯,"中医大夫,彩超医生",金天爱心医院,其他 50~200人人
,,,
医院所在地：河北-廊坊,"妇科主任,麻醉医师,护士\护理人员,骨科执业医师,内科助理医师,内科执业医师",霸州市康明骨科医院,私立医院 50~200人人
,,,
医院所在地：安徽-马鞍山,"内科医生,康复科医生,护士,护士长,助产士,妇科手术医生,肛肠科医生,中医妇科医生,不孕不育妇科医生",马鞍山东方妇产医院,专科医院 50~200人人
,,,
医院所在地：广东-肇庆,"住院医生,门诊外科医生,麻醉师,导医,护士,外科医生",肇庆西江医院,其他 200~500人人
,,,
医院所在地：湖南-长沙,按摩技师,君悦保健按摩会所,其他 50~200人人
,,,
医院所在地：四川-成都,"中医,药房营业员,业务员,口腔医生",四川成都郫县吉明医疗,其他 50~200人人
,,,
医院所在地：广东-广州,"护士，护理,妇科助理,内科医生",广州天河区康福诊所,其他 少于50人人
,,,
医院所在地：重庆-彭水县,住院部医生,彭水康馨精神病医院,私立医院 少于50人人
,,,
医院所在地：贵州-毕节,"华厦眼科集团各分院财务总监,华厦眼科集团各分院总经理,IT网络管理员,出纳,网络会员,会计,助理医生,农合专员,销售主管,市场专员,品牌企划专员,医生,护士",毕节阳明眼科医院,其他 50~200人人
,,,
医院所在地：上海-浦东,"医务干事,挂号收费员 ,财务会计,骨科副主任医师,补液室护士 ,骨科护士,换药房护士,外科手术室护士 ,护士长,口腔科主治医师,口腔科副主任医师,儿内科主治医师 ,妇科副主任医师,泌尿外科副主任医师 ,特需病房护士,普通病房护士,病房护士长,1楼分诊护士,康复理疗科康复技师,中医科主治医师,皮肤科主治医师,耳鼻喉科主治医师,眼科主治医师,分诊护士,血透室护士 ,手术室护士长,药剂科主任,住院部主治医师 ,肾内科（血透中心）主治医师 ,肾内科（血透中心）副主任医师 ,消化科副主任医师,外科主治医师,内科主治医师,院长办公室主任 ,心内科主治医师 ,放射科医技,放射科医师,医院财务科长,放射科主任,检验师,检验科主任,药剂师,护理部主任,体检中心主任 ,麻醉科医师,麻醉科主任,功能科医师 ,超声科医师 ,超声科主任,康复理疗科主治医师,财务出纳员,手术室护士,院感护士长",上海君康医院,私立医院 200~500人人
,,,
医院所在地：浙江-杭州,"检验科,外科,内科,骨科,中药房,超声影像,中医师,针灸科,放射科,西药房,护士",杭州萧山傅氏骨伤科医院,专科医院 50~200人人
,,,
